Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	78/158	2.74072251716384e-94	6.41329069016337e-92	0	0	66.4324912891986	14311.8689572984	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23
Coronavirus disease	82/232	2.91908634855897e-84	3.415331027814e-82	0	0	37.6388692579505	7239.68132192221	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;TNF;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;FOS;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL19;JUN;RPL41;RPL35A;RPL23A;RPS26;NFKBIA;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23
Protein processing in endoplasmic reticulum	21/171	6.08661297516324e-12	4.74755812062732e-10	0	0	7.92994186046512	204.790188301161	PPP1R15A;BCAP31;XBP1;TRAM1;HSP90AB1;RPN2;SSR4;SSR2;SVIP;HSP90B1;ERN1;DNAJB1;DAD1;SEC61G;BCL2;STT3B;SEC61B;P4HB;SEC62;SKP1;HSPA1A
Salmonella infection	18/249	8.12499808226323e-07	4.75312387812399e-05	0	0	4.35734870317003	61.1037551586824	JUN;HSP90AB1;ANXA2;AHNAK;TRADD;DYNLT3;TCF7;FOS;TNF;MYL12A;HSP90B1;NFKBIA;TUBA1C;TUBA1A;RPS3;BCL2;SKP1;S100A10
IL-17 signaling pathway	11/94	1.14811252013961e-06	5.37316659425337e-05	0	0	7.31985569396229	100.116530225799	NFKBIA;CEBPB;JUN;HSP90AB1;JUND;TRADD;TNFAIP3;FOSB;FOS;TNF;HSP90B1
Apoptosis	13/142	2.10287834279374e-06	8.20122553689559e-05	0	0	5.58443446088795	73.0008637737062	JUN;GADD45B;BCL2A1;TRADD;FOS;TNF;ERN1;NFKBIA;TUBA1C;TUBA1A;BCL2;MCL1;CTSB
Osteoclast differentiation	11/127	2.16511363689194e-05	0.000723766558618163	0	0	5.22864309370738	56.1579933977119	NFKBIA;SOCS3;JUN;JUND;NCF1;IFNGR1;NCF4;FOSB;FOS;TNF;JUNB
Lipid and atherosclerosis	14/215	4.35396435044932e-05	0.00127353457250643	0	0	3.85644427435472	38.7257913198954	JUN;XBP1;HSP90AB1;NCF1;NCF4;FOS;TNF;HSP90B1;ERN1;NFKBIA;CD40LG;BCL2;CALM1;HSPA1A
Leishmaniasis	8/77	8.00853676046617e-05	0.0020822195577212	0	0	6.35440263061746	59.9373779216802	EEF1A1;NFKBIA;JUN;NCF1;IFNGR1;NCF4;FOS;TNF
TNF signaling pathway	9/112	0.000214369458741468	0.00501624533455035	0	0	4.7940438529508	40.4991696301547	NFKBIA;SOCS3;JUN;CEBPB;TRADD;TNFAIP3;FOS;TNF;JUNB
