p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
1.58200435755981e-172	2.43647203681811	1	1	5.3057262143841e-168	MALAT1	c14
5.07687397069066e-39	2.25539925117079	0.68	0.648	1.70268199229023e-34	DDX17	c14
1.85454164800918e-36	2.40366861842521	0.671	0.655	6.21976177909319e-32	RNF213	c14
1.65327230446555e-34	3.0298706340164	0.597	0.481	5.54474465471657e-30	NEAT1	c14
8.90391491782322e-32	0.95932126827397	0.846	0.959	2.98619498513955e-27	EVL	c14
7.53033078179519e-27	1.3718417012319	0.84	0.98	2.52552233759847e-22	PTPRC	c14
4.50140047666262e-25	1.78555043232089	0.64	0.675	1.50967969186311e-20	RSRP1	c14
5.59102338954007e-25	2.10186352805705	0.591	0.565	1.87511742438395e-20	ARGLU1	c14
7.19525765513499e-22	1.81086736237464	0.618	0.651	2.41314551237917e-17	PNISR	c14
2.86253819254439e-18	1.83531867448218	0.594	0.647	9.60038059015536e-14	N4BP2L2	c14
1.66217983159521e-17	0.16733011446004	0.142	0.445	5.574618719204e-13	EIF1AX	c14
2.55043105247572e-17	0.150038084460612	0.138	0.437	8.55363566379305e-13	CCT2	c14
5.29390865455442e-17	2.47011959348046	0.382	0.254	1.77547108456446e-12	CD38	c14
7.58956387845441e-17	0.196775560810702	0.215	0.575	2.54538793355604e-12	TMEM123	c14
6.94597588077442e-16	1.42723787091896	0.631	0.767	2.32954139089412e-11	ACAP1	c14
1.07623030832852e-15	0.154583377508872	0.157	0.455	3.6094612080722e-11	REST	c14
1.18129198881311e-15	0.27143860180923	0.135	0.415	3.96181707208141e-11	KRAS	c14
1.20163160416724e-15	0.677274674100308	0.837	0.977	4.03003207405609e-11	DDX5	c14
2.64845612882421e-15	0.148475893809289	0.154	0.446	8.88239216485064e-11	COPS6	c14
3.10117021774958e-15	0.223310698427302	0.243	0.608	1.04007046762885e-10	SRRM1	c14
3.43446913503657e-15	0.141137416334704	0.194	0.52	1.15185225850856e-10	MAX	c14
5.18463221867377e-15	0.152974037395008	0.142	0.422	1.73882195349881e-10	PCMT1	c14
5.50490121088313e-15	0.179195258738582	0.142	0.419	1.84623376810598e-10	CCDC12	c14
1.03648908882047e-14	0.194833978551352	0.178	0.482	3.47617710608608e-10	DDX18	c14
1.49835811832821e-14	0.137280438152782	0.086	0.315	5.02519345724916e-10	CHCHD7	c14
1.95014325854597e-14	0.134426595355995	0.12	0.37	6.54039046051148e-10	FLOT1	c14
2.52150002348328e-14	1.41138870133115	0.609	0.732	8.45660677875822e-10	RBM39	c14
2.56303183256416e-14	0.14871848927448	0.185	0.487	8.59589616005367e-10	UQCRC2	c14
2.67711930586177e-14	0.26105648367325	0.148	0.419	8.97852272799921e-10	VPS51	c14
2.72672372302793e-14	0.159383310356091	0.2	0.515	9.14488602229106e-10	DCXR	c14
3.88433500556863e-14	0.261552872165047	0.231	0.562	1.30272827416761e-09	JUND	c14
3.93829600305077e-14	0.165000202698422	0.117	0.365	1.32082571350317e-09	AHSA1	c14
3.99898264751819e-14	0.274049684260727	0.218	0.553	1.34117880032465e-09	SCAND1	c14
5.97973803577505e-14	0.114642980751176	0.12	0.368	2.00548454243824e-09	OGFR	c14
6.04204352962773e-14	0.149162337730472	0.126	0.379	2.02638055896655e-09	SNX5	c14
6.14436795375166e-14	0.155826361469561	0.172	0.463	2.06069812432923e-09	ARF4	c14
6.64878656073716e-14	0.129681635836821	0.142	0.406	2.22987003674003e-09	DDX21	c14
8.47758450588648e-14	0.225923338842132	0.295	0.687	2.84321229158421e-09	VPS28	c14
1.24426412018667e-13	0.132361132132585	0.268	0.636	4.17301300628205e-09	SPCS2	c14
1.30681490816169e-13	0.197363280945088	0.178	0.473	4.38279583899269e-09	RGS14	c14
1.36095354796133e-13	0.274164471401051	0.197	0.505	4.56436600915272e-09	NUCB1	c14
