Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Huntington disease	145/306	1.25981831562391e-25	4.00622224368403e-23	3.5181213578562	201.70677309541	POLR2J3;ATG13;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;ULK1;UQCR10;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;CREB3L3;PSMD4;NRBF2;PSMD1;AP2S1;PSMD2;COX8A;CREBBP;ATG2A;RCOR1;ATP5F1D;ATP5F1E;COX6C;COX7B;CLTC;CLTB;CLTA;ACTR1A;ACTR1B;ATG101;ATP5PF;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;PPARG;PLCB2;COX5A;NDUFA12;NDUFA13;HTT;NDUFA10;AP2A2;AP2A1;COX5B;PSMB7;ATP5F1A;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;SDHB;SDHC;ERN1;SDHA;UQCRQ;PPIF;NDUFB11;NDUFB10;COX6A1;KIF5B;NDUFV2;MAP3K5;TRAF2;CREB1;SEM1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;AP2M1;MAP2K7;GPX7;NDUFC2;WIPI2;NDUFC1;SP1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PIK3C3;PSMD11;PSMD13;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ITPR1;CASP8;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;SOD1;REST;VDAC3;VDAC1;SLC25A6;SLC25A5;BECN1;DCTN3;HDAC1;DCTN2;DCTN5;RB1CC1;AMBRA1;POLR2E;POLR2G;POLR2J;IFT57	1	KEGG_2021_Human
Alzheimer disease	162/369	5.54573833431802e-24	6.68497251152123e-22	3.06112192840282	163.920056306286	BAD;TPTEP2-CSNK1E;ATG13;PSMC6;APC;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;ULK1;CALM3;UQCR10;ARAF;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;AKT2;PSMD2;NCSTN;COX8A;XBP1;FZD6;CSNK2B;ATG2A;PSENEN;CSNK1A1;ATP5F1D;ATP5F1E;COX6C;COX7B;IDE;PPP3CB;PPP3CC;ATG101;FADD;ATP5PF;ATP5PD;CSNK2A1;ATP5PB;ADAM10;COX6B1;PSMA6;PSMA7;PSMA4;ADAM17;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;PLCB2;COX5A;NDUFA12;NDUFA13;CTNNB1;NDUFA10;COX5B;PSMB7;ATP5F1A;IKBKB;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;SDHB;SDHC;ERN1;SDHA;UQCRQ;PPIF;RELA;NDUFB11;NDUFB10;COX6A1;NRAS;KIF5B;CAPN1;NDUFV2;MAP3K5;MAP2K2;MAP2K1;TRAF2;NFKB1;EIF2S1;SEM1;ATP5MC3;PSEN1;AGER;COX7A2;ATP5MC2;UQCRH;CYC1;MAP2K7;EIF2AK2;NDUFC2;WIPI2;NDUFC1;TNFRSF1A;NDUFS8;PIK3CB;CDK5;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PIK3C3;PSMD11;GSK3B;PSMD13;PSMD14;NDUFB5;NDUFB4;ITPR2;NDUFB3;NDUFB2;NDUFB1;ITPR1;APH1A;CASP8;CASP9;CASP7;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;CHUK;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;VDAC3;KRAS;VDAC1;SLC25A6;SLC25A5;GAPDH;BECN1;ATP2A3;RB1CC1;ATP2A2;PIK3CD;AMBRA1;HSD17B10	2	KEGG_2021_Human
Parkinson disease	123/249	6.30657784105776e-24	6.68497251152123e-22	3.80099933927981	203.051091510391	PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;CALM3;UQCR10;UQCR11;UBE2L6;UBE2L3;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;PSMD1;PSMD2;COX8A;DAXX;XBP1;TXN;UBE2J2;PLCG1;ATP5F1D;ATP5F1E;COX6C;UBE2G1;COX7B;ATP5PF;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA10;COX5B;GNAI2;PSMB7;ATP5F1A;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;SDHB;SDHC;ERN1;SDHA;UQCRQ;PPIF;NDUFB11;NDUFB10;PARK7;COX6A1;KIF5B;NDUFV2;MAP3K5;EIF2S1;SEM1;BCL2L1;GNAS;UBA1;TXN2;ATP5MC3;COX7A2;ATP5MC2;UQCRH;UBC;CYC1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;ADORA2A;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PSMD11;PSMD13;PSMD14;UBA7;NDUFB5;NDUFB4;ITPR2;NDUFB3;NDUFB2;NDUFB1;ITPR1;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;VDAC3;VDAC1;SLC25A6;SLC25A5;CAMK2D	3	KEGG_2021_Human
Proteasome	41/46	4.13914552360059e-23	2.89589546000126e-21	31.5335599805731	1625.20713143624	ADRM1;PSMB9;PSMA6;PSMA7;PSMA4;PSMC6;PSMA5;SEM1;PSMA2;PSMC4;PSMA3;PSMC5;PSMC2;IFNG;PSMA1;PSMC3;PSME2;PSMC1;PSME3;PSME1;PSMD11;PSMD13;POMP;PSMD14;PSMB10;PSMB7;PSMD9;PSMB8;PSMD7;PSMB6;PSMD8;PSMB3;PSMB4;PSMD6;PSMB1;PSMD3;PSMB2;PSMD4;PSMD1;PSMD2;PSMF1	4	KEGG_2021_Human
Oxidative phosphorylation	80/133	4.55329474842965e-23	2.89589546000126e-21	5.84234944746909	300.551523366932	ATP6V1E1;PPA1;SDHB;SDHC;SDHA;UQCRQ;UQCRC2;UQCRC1;ATP6V0D1;NDUFB11;NDUFB10;UQCR10;UQCR11;COX6A1;NDUFV2;COX8A;ATP6V0C;ATP6V0B;ATP6AP1;ATP6V1B2;ATP6V1A;ATP6V1D;ATP5MC3;COX7A2;ATP5MC2;UQCRH;COX15;ATP6V1F;CYC1;ATP6V1C1;ATP6V0A1;ATP6V1H;COX10;NDUFC2;NDUFC1;ATP5F1D;ATP5F1E;COX6C;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;COX7B;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;LHPP;UQCRFS1;ATP5MG;ATP5MF;ATP6V1G1;NDUFA9;ATP5PF;ATP6V0E1;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6B1;NDUFAB1;COX5A;NDUFA12;NDUFA13;NDUFA10;TCIRG1;COX5B;ATP5F1A;ATP5F1B;ATP5F1C	5	KEGG_2021_Human
Pathways of neurodegeneration	192/475	5.8532092264218e-23	3.10220089000356e-21	2.66076402404644	136.2110746084	BAD;TPTEP2-CSNK1E;ATG13;PSMC6;CCS;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;OPTN;ARAF;ZFYVE1;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;GABARAPL2;DAXX;FZD6;PRKCB;ATG2A;GABARAP;TBK1;PLCG1;CSNK1A1;ATXN2;ATG101;ATXN1;CSNK2A1;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;PSMA1;PLCB2;NDUFA12;NDUFA13;HTT;NDUFA10;PSMB7;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;ATXN2L;UQCRQ;PARK7;TANK;NRAS;MAP3K5;MAP2K2;MAP2K3;MAP2K1;TRAF2;NFKB1;BCL2L1;RAB5A;UQCRH;MAP2K7;GPX7;NDUFC2;WIPI2;NDUFC1;TNFRSF1A;TNFRSF1B;CDK5;PIK3C3;NDUFB5;NDUFB4;ITPR2;NDUFB3;NDUFB2;NDUFB1;ITPR1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;SLC25A6;SLC25A5;BECN1;AMBRA1;HSD17B10;BAK1;APC;ULK1;CALM3;UQCR10;UQCR11;UBE2L6;UBE2L3;COX8A;XBP1;CSNK2B;UBE2J2;ATP5F1D;ATP5F1E;COX6C;UBE2G1;COX7B;ACTR1A;PPP3CB;ACTR1B;PPP3CC;FADD;ATP5PF;ATP5PD;ATP5PB;NDUFAB1;COX5A;RYR1;CTNNB1;DERL1;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;RAB8A;RAC1;SDHB;SDHC;ERN1;SDHA;PPIF;RELA;NDUFB11;NDUFB10;COX6A1;KIF5B;CAPN1;NDUFV2;EIF2S1;SEM1;CHMP2B;UBA1;VCP;ATP5MC3;PSEN1;AGER;COX7A2;ATP5MC2;UBC;CYC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PSMD11;GSK3B;PSMD13;PSMD14;UBA7;CASP8;CASP9;CASP7;UQCRFS1;CASP3;SOD1;CAT;VDAC3;KRAS;VDAC1;CAMK2D;DCTN3;DCTN2;DCTN5;ATP2A3;RB1CC1;ATP2A2;IFT57	6	KEGG_2021_Human
Amyotrophic lateral sclerosis	158/364	8.42848921608228e-23	3.82894224387738e-21	2.99722399497213	152.342420455973	BAD;ATG13;PSMC6;CCS;NUP98;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;ULK1;PFN1;OPTN;UQCR10;UQCR11;PSMD9;ACTB;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;NRBF2;PSMD1;PSMD2;COX8A;GABARAPL2;DAXX;XBP1;SETX;ATG2A;GABARAP;GLE1;TBK1;NUP62;SEC13;ATP5F1D;ATP5F1E;COX6C;COX7B;ACTR1A;PPP3CB;ACTR1B;PPP3CC;ATXN2;ATG101;ATP5PF;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;NDUFA12;NDUFA13;NDUFA10;DERL1;COX5B;PSMB7;ATP5F1A;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;RAB8A;RAC1;SDHB;SDHC;ERN1;SDHA;ATXN2L;UQCRQ;SRSF3;NDUFB11;NDUFB10;TANK;COX6A1;KIF5B;RAE1;NDUFV2;MAP3K5;MAP2K3;NUP153;TRAF2;EIF2S1;SEM1;BCL2L1;CHMP2B;RAB5A;VCP;ACTG1;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;GPX7;NCBP1;NDUFC2;WIPI2;NDUFC1;TNFRSF1A;TNFRSF1B;NUP50;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NUP58;NDUFS2;NDUFS1;PIK3C3;PSMD11;PSMD13;PSMD14;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;CASP9;UQCRFS1;CASP3;CASP1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;SOD1;CAT;VDAC1;NUP37;BECN1;DCTN3;DCTN2;DCTN5;RB1CC1;AMBRA1;HNRNPA3	7	KEGG_2021_Human
Prion disease	123/273	1.20134593451491e-19	4.77535008969675e-18	3.18796333002973	138.885771882212	BAD;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;ATF2;UQCR10;UQCR11;PSMD9;PSMD7;PSMD8;PSMD6;PSMD3;CREB3L3;PSMD4;PSMD1;PSMD2;COX8A;CSNK2B;ATP5F1D;ATP5F1E;COX6C;COX7B;STIP1;PPP3CB;PPP3CC;ATP5PF;ATP5PD;CSNK2A1;ATP5PB;COX6B1;PSMA6;PSMA7;PSMA4;PSMA5;PSMA2;PSMA3;NDUFAB1;PSMA1;COX5A;RYR1;NDUFA12;NDUFA13;NDUFA10;COX5B;PSMB7;ATP5F1A;ATP5F1B;ATP5F1C;PSMB6;PSMB3;PSMB4;PSMB1;PSMB2;RAC1;RAC2;SDHB;SDHC;SDHA;UQCRQ;PPIF;NDUFB11;ATF6B;NDUFB10;COX6A1;KIF5B;NDUFV2;CYBA;EIF2S1;CREB1;SEM1;NOTCH1;NCF4;ATP5MC3;COX7A2;ATP5MC2;UQCRH;CYC1;NDUFC2;NDUFC1;NDUFS8;PIK3CB;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PSMD11;GSK3B;PSMD13;PSMD14;NDUFB5;NDUFB4;ITPR2;NDUFB3;NDUFB2;NDUFB1;ITPR1;CASP9;UQCRFS1;CASP3;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SOD1;VDAC3;VDAC1;SLC25A6;SLC25A5;PIK3CD;FYN	8	KEGG_2021_Human
Epstein-Barr virus infection	99/202	3.23249717269664e-19	1.14214900101948e-17	3.72581663398537	158.629854137485	ENTPD1;PSMC6;PSMC4;PSMC5;PSMC2;PSMC3;PSMC1;PSMD7;PSMD8;PSMD6;PSMD3;PSMD4;PSMD1;AKT2;E2F3;PSMD2;B2M;GADD45G;HLA-C;HLA-A;HLA-B;HLA-E;HLA-F;SNW1;HLA-DRB1;ICAM1;RBPJ;TBK1;TYK2;CALR;CD3G;CD3E;CD3D;FADD;STAT1;STAT2;STAT3;HLA-DPB1;CD44;IKBKB;HLA-DPA1;RAC1;CD58;IKBKG;JAK3;IKBKE;JAK1;TAP2;TAP1;RELA;RELB;BCL2L11;CIR1;PDIA3;MAP2K3;DDX58;TRAF3;ISG15;TRAF2;NFKB1;NFKB2;MYD88;MAVS;SEM1;TAB2;MAP3K14;TAB1;IFNAR2;MDM2;MAP2K7;EIF2AK2;IRAK4;OAS1;TAPBP;NFKBIB;NFKBIA;CDK6;OAS2;PIK3CB;OAS3;IRF3;IRF9;IRF7;CD247;NFKBIE;PSMD11;PSMD13;PSMD14;TRADD;TNFAIP3;CASP8;CASP9;CASP3;CHUK;ADRM1;HDAC1;PIK3CD;ITGAL;BAK1	9	KEGG_2021_Human
Diabetic cardiomyopathy	99/203	5.0331939991541e-19	1.600555691731e-17	3.68975701023115	155.460760856358	UQCRC2;UQCRC1;PDHB;UQCR10;UQCR11;AKT2;COX8A;PRKCB;PDK2;ATP5F1D;ATP5F1E;COX6C;COX7B;CTSD;ATP5PF;ATP5PD;ATP5PB;PARP1;COX6B1;NDUFAB1;PLCB2;COX5A;NDUFA12;NDUFA13;NDUFA10;COX5B;GYS1;ATP5F1A;ATP5F1B;ATP5F1C;RAC1;RAC2;TGFB1;G6PD;GSR;SDHB;SDHC;PPP1CA;SDHA;UQCRQ;PPIF;RELA;NDUFB11;NDUFB10;COX6A1;PPP1CC;PTPA;NDUFV2;SMAD3;CYBA;NFKB1;NCF4;ATP5MC3;AGER;COX7A2;ATP5MC2;UQCRH;MPC2;CYC1;NDUFC2;NDUFC1;TGFBR2;SP1;NDUFS8;PIK3CB;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;GSK3B;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NOS3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;MTOR;VDAC3;VDAC1;SLC25A6;SLC25A5;GAPDH;CAMK2D;ATP2A3;PTEN;ATP2A2;PIK3CD	10	KEGG_2021_Human
