p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	-6.60036962236812	0.007	0.225	0	HLA-DRA	c2
0	-6.55684447324407	0.007	0.224	0	LINC02446	c2
0	-5.92831012825352	0.01	0.337	0	KLRD1	c2
0	-5.18375166104472	0.019	0.28	0	GZMB	c2
0	-4.89666107937013	0.038	0.375	0	HLA-DRB1	c2
0	-4.85975650841355	0.021	0.421	0	CD8B	c2
0	-4.11778930278334	0.098	0.472	0	CD8A	c2
0	-3.98578342659655	0.028	0.278	0	CD38	c2
0	-3.86414018371413	0.05	0.375	0	HLA-DPB1	c2
0	-3.69076167189746	0.059	0.414	0	TIGIT	c2
0	-3.62875742336438	0.034	0.331	0	DUSP4	c2
0	-3.2966973153912	0.093	0.44	0	HLA-DPA1	c2
0	-3.29082151763557	0.266	0.58	0	NKG7	c2
0	-3.04583478311384	0.241	0.523	0	GZMA	c2
0	-2.9146691884124	0.059	0.318	0	CTLA4	c2
0	2.79780188955175	0.176	0.032	0	ADAM23	c2
0	2.53505533688212	0.333	0.112	0	IL2	c2
0	2.50792236452433	0.627	0.255	0	EGR1	c2
0	2.48778173100308	0.211	0.052	0	EGR3	c2
0	2.4402586180121	0.59	0.241	0	TNF	c2
0	2.02830968639738	0.41	0.17	0	AC020571.1	c2
0	1.87468656954704	0.978	0.687	0	FOSB	c2
0	-1.85131400837648	0.184	0.446	0	ITGAE	c2
0	-1.72839346007733	0.821	0.905	0	CD74	c2
0	1.69095002790794	0.965	0.793	0	JUN	c2
0	1.64201643984572	0.837	0.495	0	NR4A1	c2
0	1.62584491517885	1	0.887	0	FOS	c2
0	1.36947762993055	0.72	0.35	0	CD40LG	c2
0	1.2470846542212	0.978	0.651	0	IL7R	c2
0	1.2430493929442	0.978	0.694	0	ANXA1	c2
0	-1.23246829364064	0.785	0.887	0	COTL1	c2
0	1.0453555206988	0.83	0.698	0	IER2	c2
0	-1.02138179702796	0.831	0.888	0	CD7	c2
0	1.02012491398784	0.761	0.572	0	MYADM	c2
0	1.00708407698774	0.674	0.464	0	AC020916.1	c2
0	0.996762804744402	0.999	0.951	0	DUSP1	c2
0	0.981705977394795	0.907	0.834	0	BTG2	c2
0	0.953097173319889	0.958	0.87	0	TSC22D3	c2
0	0.949851369976728	0.765	0.537	0	AHNAK	c2
0	0.947372507550389	0.955	0.874	0	TNFAIP3	c2
0	0.885796475099787	0.966	0.91	0	KLF6	c2
0	0.879078350528062	0.984	0.955	0	CD69	c2
0	0.866775879834045	0.549	0.319	0	CD4	c2
0	0.855183842726082	0.723	0.491	0	GPR183	c2
0	0.84597074889656	0.937	0.789	0	PPP1R15A	c2
0	0.785352256642942	0.98	0.958	0	JUNB	c2
0	0.781860473168841	0.868	0.582	0	KLRB1	c2
0	0.746559015398429	0.968	0.928	0	ZFP36	c2
0	0.696424610922539	0.931	0.82	0	NR4A2	c2
0	-0.659803570104954	0.99	0.991	0	GAPDH	c2
0	-0.61361436440925	0.959	0.978	0	PTPRCAP	c2
0	-0.587015690410363	0.876	0.93	0	ARPC1B	c2
0	-0.535203249483101	0.917	0.951	0	ARPC2	c2
0	-0.533897401620881	0.995	0.995	0	ACTG1	c2
0	-0.500806738330659	0.996	0.996	0	PFN1	c2
0	-0.474897964563007	1	0.999	0	ACTB	c2
0	0.352103629192335	0.992	0.978	0	EEF1B2	c2
0	0.336428865444051	1	0.998	0	TPT1	c2
0	0.323607206057251	0.998	0.991	0	RPL9	c2
0	0.322714359092917	0.999	0.997	0	RPS14	c2
0	0.321546929446767	1	0.999	0	RPL10	c2
0	0.304613651700659	0.999	0.996	0	RPS25	c2
0	0.304281080479974	1	0.999	0	RPLP1	c2
0	0.294625376497881	0.999	0.997	0	RPL32	c2
0	0.277876253999353	1	0.999	0	EEF1A1	c2
0	0.276669459529522	1	0.997	0	RPL34	c2
0	0.276591081374415	0.999	0.998	0	RPS27A	c2
0	0.274286818312034	0.999	0.997	0	RPS3	c2
0	0.26536091313971	1	0.997	0	RPL30	c2
0	0.249160203049014	1	0.997	0	RPS12	c2
1.97482472860848e-306	0.26118706943238	1	0.996	6.62316717480713e-302	RPL39	c2
3.80558684236833e-306	0.242340750434411	0.999	0.997	1.27631771519349e-301	RPS3A	c2
1.94860562901232e-304	1.05264632913653	0.774	0.626	6.53523355858153e-300	RGCC	c2
1.25231757059622e-298	-2.14974236635894	0.117	0.354	4.2000226682656e-294	MIR4435-2HG	c2
5.40685823755715e-298	-3.59129359904958	0.028	0.24	1.81335211571192e-293	FABP5	c2
4.84913713581141e-297	0.265586413179888	0.998	0.995	1.62630361260843e-292	RPL3	c2
6.14907058993239e-288	0.221082764291073	0.999	0.997	2.06227529445152e-283	RPS23	c2
1.0096792845632e-284	0.420476829928468	0.993	0.932	3.38626238456805e-280	VIM	c2
3.08368967239841e-284	-1.8206461197694	0.116	0.356	1.03420784232898e-279	ACP5	c2
2.28346644375784e-283	0.452874133426184	0.998	0.994	7.65828975907505e-279	H3F3B	c2
2.80269587520689e-283	2.13511843486326	0.167	0.051	9.39968142626886e-279	AC004832.6	c2
8.15121262688855e-280	-1.1560981403887	0.427	0.637	2.73375369080588e-275	UCP2	c2
6.65151058002329e-277	0.334355751400582	0.997	0.989	2.23078361832821e-272	SARAF	c2
2.35169502870404e-274	-5.74892581207439	0.006	0.192	7.88711478726761e-270	CD160	c2
3.4440074939247e-273	0.7380975364799	0.761	0.618	1.15505123331247e-268	CSRNP1	c2
5.42105281473886e-266	-4.24774243091049	0.026	0.217	1.81811269300712e-261	GZMH	c2
5.88467269595791e-262	0.705988444514721	0.827	0.716	1.97360152877036e-257	PTGER4	c2
2.11017049732875e-261	-1.57571305632181	0.299	0.517	7.07708981394118e-257	PRF1	c2
5.22445316761078e-261	-5.55990834158948	0.004	0.182	1.7521771033533e-256	PECAM1	c2
1.06103733894077e-260	-0.883643563190436	0.515	0.714	3.55850702733956e-256	RGS1	c2
6.9030153777997e-258	-6.76808344121366	0.002	0.176	2.31513329740646e-253	ENTPD1	c2
1.13536555542278e-256	1.86605417217615	0.188	0.066	3.80778899977694e-252	MZF1-AS1	c2
1.68080607740185e-255	1.53826510862299	0.226	0.089	5.63708742239033e-251	IGFBP3	c2
3.11434957438699e-255	1.4103634817428	0.246	0.102	1.04449056025791e-250	CCR2	c2
4.00533627302989e-252	-3.5740666267604	0.032	0.22	1.34330967924876e-247	XCL2	c2
1.28705459534283e-247	-3.09182208543202	0.023	0.207	4.3165237018608e-243	IL21R	c2
7.56119074608317e-247	-2.81690673875942	0.035	0.223	2.53587215242137e-242	TOX	c2
4.62596918460487e-246	-0.448173864842047	0.95	0.966	1.55145754513278e-241	CD3D	c2
1.35703258164058e-245	-0.731279151275345	0.578	0.756	4.55121587230619e-241	GYPC	c2
5.03193105584671e-245	1.10698428899093	0.657	0.499	1.68760903750987e-240	GADD45B	c2
5.70065034274781e-242	-0.418326126906464	0.973	0.979	1.91188411195076e-237	CORO1A	c2
3.53920897538092e-241	-0.653167273705002	0.744	0.854	1.18697990616325e-236	LIMD2	c2
3.10953244319317e-240	-0.385503465568267	0.971	0.977	1.04287499079812e-235	RAC2	c2
4.72273534652678e-237	-3.51356591570545	0.017	0.19	1.58391098051815e-232	CD244	c2
3.41162714286966e-236	0.473163209479923	0.892	0.771	1.14419151117563e-231	S100A11	c2
3.7513595772385e-236	-0.881153110198935	0.545	0.722	1.25813097501425e-231	CTSC	c2
5.17288454023313e-235	0.867975584185608	0.666	0.53	1.73488201710339e-230	TTC39C	c2
1.42094733344872e-234	0.226676018667222	0.999	0.997	4.76557316692033e-230	RPS18	c2
4.14737152332126e-234	-3.9725372986552	0.017	0.187	1.39094546149148e-229	HLA-DQB1	c2
7.67798064153985e-234	0.25433607079441	1	0.997	2.57504114755963e-229	EIF1	c2
1.17076275321043e-229	-2.73390456016549	0.048	0.231	3.92650412171714e-225	CLIC3	c2
2.2308400554177e-229	0.254359730617214	0.999	0.996	7.48179137785988e-225	RPLP0	c2
8.62115113008042e-229	-0.439726111316999	0.89	0.932	2.89136166600637e-224	ARPC3	c2
2.8815748097531e-228	0.190758726643751	0.999	0.998	9.66422559694993e-224	RPL11	c2
2.26035923636115e-227	-0.620940264581146	0.76	0.85	7.58079280690804e-223	PSMB9	c2
2.97634054017168e-226	-0.381113396713115	0.984	0.988	9.9820509036278e-222	CFL1	c2
3.56515047300517e-224	-2.51862464518036	0.048	0.231	1.19568016563647e-219	HLA-DMA	c2
1.96610018607751e-221	-1.55947106933669	0.161	0.374	6.59390680406676e-217	BATF	c2
5.23308668130644e-220	-1.65371200483344	0.129	0.331	1.75507261117655e-215	C12orf75	c2
1.09725793616227e-219	-4.98087757732722	0.007	0.162	3.67998366630101e-215	SELL	c2
5.90999868298885e-218	-0.763723300281816	0.472	0.672	1.9820953583008e-213	CSK	c2
1.91059332431746e-217	-1.37230270956438	0.29	0.495	6.40774789109591e-213	GBP5	c2
2.50165735818679e-217	0.852824417078521	0.513	0.333	8.39005844788685e-213	PTGER2	c2
3.20476172088692e-216	-0.31748385554342	0.989	0.989	1.07481298595105e-211	ARHGDIB	c2
1.42086553384584e-215	-0.361759639611916	0.999	0.998	4.76529882741217e-211	HLA-A	c2
1.74488328430516e-215	-0.973097783296931	0.367	0.578	5.85198955890263e-211	IL2RB	c2
1.12520801941732e-214	-1.65944484269959	0.118	0.316	3.77372265552181e-210	AOAH	c2
6.18118131512759e-214	1.20866018760979	0.291	0.144	2.07304458946749e-209	SSBP2	c2
3.07058420753863e-212	-1.76632511781818	0.228	0.428	1.02981253152431e-207	LAG3	c2
1.13085427469338e-211	0.504802911414152	0.988	0.964	3.79265906646666e-207	ZFP36L2	c2
2.71790370258424e-210	0.20401295808706	0.999	0.996	9.11530543772703e-206	RPLP2	c2
2.42661544030266e-208	-2.06306535725685	0.091	0.273	8.13838286368707e-204	TMIGD2	c2
4.52485305588558e-207	0.190145975387248	0.999	0.996	1.51754521788291e-202	RPS13	c2
9.29201668187625e-206	-5.01086983126323	0.004	0.15	3.11635655476766e-201	ZEB2	c2
5.17081841092849e-205	0.296776176509633	0.985	0.975	1.7341890786572e-200	ITM2B	c2
5.24998971441717e-205	-1.79259748454136	0.082	0.267	1.76074155042123e-200	GABARAPL1	c2
5.91719665763665e-202	-0.674855170501605	0.553	0.715	1.98450941503818e-197	WDR1	c2
4.36083456376363e-201	-6.80497707079531	0.003	0.143	1.46253669599505e-196	CRTAM	c2
1.32277395937659e-200	-4.04494564567888	0.03	0.186	4.43631930495721e-196	GNLY	c2
2.83960385111761e-200	1.19629762376892	0.425	0.269	9.52346339587826e-196	NR4A3	c2
1.56751088314139e-199	0.201333629971441	0.999	0.996	5.25711799987959e-195	RPL35A	c2
2.54706844677724e-199	1.46951687652487	0.205	0.087	8.5423581568015e-195	PLCB1	c2
2.90254206489877e-199	-1.09427140657021	0.307	0.506	9.73454557725749e-195	GBP2	c2
