p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	5.80140436427405	0.064	0.002	0	KIR2DL1	c7
0	4.40401924037001	0.073	0.003	0	KIR3DL1	c7
0	4.08024583030353	0.136	0.009	0	TRDV2	c7
0	3.76218936365855	0.085	0.007	0	AC120193.1	c7
0	3.38893396886924	0.8	0.066	0	KIR2DL4	c7
0	3.37037582484833	0.736	0.083	0	KLRC2	c7
0	3.32351944670406	0.764	0.09	0	KLRC3	c7
0	3.32324326205357	0.142	0.013	0	TRDV3	c7
0	3.30374230693796	0.263	0.026	0	KIR3DL2	c7
0	3.30239685861097	0.2	0.022	0	ADAM28	c7
0	3.28900919842155	0.126	0.014	0	SPRY2	c7
0	3.25487353054228	0.142	0.016	0	ADRB1	c7
0	3.24403604688121	0.104	0.011	0	B3GNT7	c7
0	3.23048829884008	0.504	0.057	0	AC068775.1	c7
0	3.22454142465819	0.277	0.042	0	KLRC1	c7
0	3.06330523498838	0.222	0.027	0	NCR1	c7
0	3.00449142110546	0.287	0.054	0	TRGV8	c7
0	2.94508712599486	0.395	0.047	0	TRDC	c7
0	2.87420006441703	0.473	0.062	0	LAT2	c7
0	2.82486769618021	0.385	0.056	0	ATP8B4	c7
0	2.81305046957802	0.261	0.069	0	TRGV9	c7
0	2.78695990505856	0.277	0.043	0	LYN	c7
0	2.77471355619306	0.161	0.027	0	CRACR2B	c7
0	2.63059191673283	0.129	0.022	0	PIK3R6	c7
0	2.56736589472158	0.273	0.047	0	CXXC5	c7
0	2.55716238728323	0.2	0.038	0	FES	c7
0	2.52525825578255	0.721	0.145	0	CD160	c7
0	2.43264161102836	0.25	0.046	0	TRDV1	c7
0	2.36126430565866	0.479	0.089	0	IKZF2	c7
0	2.33223001262983	0.295	0.066	0	NMUR1	c7
0	2.2971396267323	0.359	0.079	0	TRGV4	c7
0	2.29640917316223	0.225	0.046	0	MYO1E	c7
0	2.24215766374167	0.269	0.067	0	CCRL2	c7
0	2.22299088630364	0.148	0.03	0	KIFC3	c7
0	2.15137901838508	0.443	0.116	0	TRGC2	c7
0	2.09159342256115	0.273	0.059	0	ADGRG1	c7
0	2.05944190389655	0.266	0.036	0	TYROBP	c7
0	1.9103578880424	0.286	0.079	0	DBN1	c7
0	1.84842434404605	0.263	0.082	0	HAGHL	c7
0	1.81956713941028	0.674	0.234	0	TMIGD2	c7
0	1.81894759414818	0.257	0.075	0	CHN2	c7
0	1.76920798549654	0.955	0.455	0	HOPX	c7
0	1.75703410185636	0.472	0.17	0	FAM3C	c7
0	1.75370277426155	0.699	0.286	0	LDLRAD4	c7
0	1.72248899955313	0.261	0.037	0	FCER1G	c7
0	1.7222018923544	0.505	0.176	0	RIN3	c7
0	1.7081957138818	0.327	0.103	0	CAPN12	c7
0	1.70030372528996	0.242	0.07	0	LAYN	c7
0	1.64757317691198	0.859	0.278	0	KLRD1	c7
0	1.63595449164749	0.305	0.106	0	ISYNA1	c7
0	1.60695434592571	0.783	0.347	0	ITGA1	c7
0	1.60682988474511	0.544	0.23	0	TRG-AS1	c7
0	1.58829196300717	0.458	0.159	0	CD244	c7
0	1.56853103215198	0.613	0.181	0	XCL2	c7
0	1.52025064512303	0.476	0.15	0	XCL1	c7
0	1.51802043827697	0.628	0.221	0	SPRY1	c7
0	1.50801039912558	0.7	0.276	0	AOAH	c7
0	1.48947018461655	0.37	0.133	0	AUTS2	c7
0	1.45125619778725	0.339	0.119	0	ID3	c7
0	1.44184270579042	0.485	0.207	0	BCAS4	c7
0	1.43242430301686	0.884	0.494	0	CD63	c7
0	1.43114404418558	0.492	0.217	0	CDIP1	c7
0	1.426490570345	0.493	0.209	0	GNPTAB	c7
0	1.42232408935732	0.4	0.163	0	ABCB1	c7
0	1.367147120867	0.593	0.265	0	FASLG	c7
0	1.34502072807632	0.746	0.369	0	RHOC	c7
0	1.31748885486693	0.481	0.212	0	PLA2G16	c7
0	1.28269688069582	0.775	0.484	0	GZMA	c7
0	1.2523590580748	0.581	0.26	0	GPR15	c7
0	1.23243203044182	0.664	0.323	0	MATK	c7
0	1.19852969593727	0.766	0.405	0	ITGAE	c7
0	1.1555059557441	0.603	0.334	0	SLA2	c7
0	1.13696219331798	0.704	0.401	0	MAP3K8	c7
0	1.12988933716869	0.998	0.877	0	CD7	c7
0	1.12815738277023	0.699	0.423	0	GPR65	c7
0	1.12064056502235	0.997	0.738	0	CCL5	c7
0	1.11091226633445	0.729	0.44	0	CTSW	c7
0	1.04758958229704	0.458	0.156	0	GNLY	c7
0	1.0146352581642	0.941	0.727	0	CD96	c7
0	1.0018062995494	0.789	0.505	0	PTPN22	c7
0	0.983130619484829	0.666	0.38	0	CAPG	c7
0	0.892394449312351	0.816	0.545	0	IL2RB	c7
0	0.873691472133804	0.84	0.594	0	ARHGAP9	c7
0	0.868307070635106	0.995	0.962	0	MT-ND4	c7
0	0.834720448790161	0.716	0.365	0	TIGIT	c7
0	0.798210889197095	0.855	0.635	0	GSTP1	c7
0	0.781766636474138	0.956	0.822	0	NR4A2	c7
0	0.644450319980589	0.99	0.963	0	MT-ND2	c7
0	0.609554361362302	0.993	0.928	0	ZFP36	c7
0	0.601316225587145	0.997	0.995	0	MT-ND3	c7
0	0.579063808910298	0.999	0.997	0	MT-CYB	c7
0	0.539994301364654	0.999	0.984	0	PABPC1	c7
0	0.507602983719762	0.995	0.988	0	MT-ND5	c7
0	0.480925278422994	1	0.998	0	MT-CO2	c7
0	0.479921132672206	1	0.998	0	MT-CO1	c7
0	0.467813757121485	0.998	0.996	0	MT-ATP6	c7
0	0.465914718931617	0.999	0.997	0	MT-ND4L	c7
0	0.446373461730003	1	0.997	0	MT-CO3	c7
0	0.439306627834522	0.999	0.985	0	FTL	c7
2.01354949548013e-307	1.93255213127853	0.177	0.042	6.75304229794125e-303	CA10	c7
1.55134015125432e-306	0.211405040616601	0.926	0.532	5.20288459927674e-302	NKG7	c7
3.48472124650122e-296	2.36383236444076	0.219	0.064	1.16870581165158e-291	TRBV28	c7
1.49473889333488e-294	2.8179421145095	0.088	0.012	5.01305530046653e-290	PDGFD	c7
6.46456183528726e-294	1.67657921824983	0.3	0.109	2.16808474831864e-289	DGKD	c7
1.1023561433196e-292	1.04985618504541	0.635	0.37	3.69708203346528e-288	CCDC69	c7
1.82846814970567e-282	0.259755704053267	1	0.999	6.13231648048287e-278	TMSB4X	c7
1.89977090983343e-280	1.88566039240212	0.215	0.064	6.37145167739937e-276	PIK3AP1	c7
2.19452488101971e-280	0.973898186309008	0.726	0.48	7.3599975459639e-276	PIK3R1	c7
1.00654873449323e-279	0.712082648100347	0.936	0.816	3.37576314574339e-275	TRBC2	c7
2.72395648522133e-274	2.64038395755815	0.1	0.017	9.1356052601353e-270	LILRB1	c7
5.38882842141319e-274	1.51900649615666	0.272	0.094	1.80730527597356e-269	FCRL6	c7
5.62939833242569e-274	1.55910041679016	0.291	0.106	1.88798761272893e-269	KLRK1	c7
1.00563991985431e-272	0.831099975295959	0.786	0.518	3.37271516320737e-268	LINC01871	c7
9.93966838697817e-269	1.14345850400965	0.483	0.239	3.33356598362474e-264	GABARAPL1	c7
1.026481275383e-268	1.89073922419129	0.221	0.069	3.44261290137951e-264	PLCG2	c7
7.51535386905044e-268	2.63763537959745	0.089	0.013	2.52049938060214e-263	KRT86	c7
3.89275104547009e-265	1.34408594045118	0.32	0.123	1.30555084562976e-260	SKAP2	c7
