Diagnosis	Sample	cd4_subcluster	.n
Colitis	C1	s1	170
Colitis	C1	s2	50
Colitis	C1	s3	161
Colitis	C1	s4	327
Colitis	C1	s5	111
Colitis	C1	s6	147
Colitis	C1	s7	44
Colitis	C1	s8	34
Colitis	C1	s9	16
Colitis	C2	s1	88
Colitis	C2	s2	56
Colitis	C2	s3	399
Colitis	C2	s4	645
Colitis	C2	s5	75
Colitis	C2	s6	51
Colitis	C2	s7	28
Colitis	C2	s8	62
Colitis	C2	s9	20
Colitis	C3	s1	298
Colitis	C3	s2	181
Colitis	C3	s3	229
Colitis	C3	s4	218
Colitis	C3	s5	106
Colitis	C3	s6	210
Colitis	C3	s7	167
Colitis	C3	s8	53
Colitis	C3	s9	24
Colitis	C4	s1	454
Colitis	C4	s2	200
Colitis	C4	s3	346
Colitis	C4	s4	593
Colitis	C4	s5	119
Colitis	C4	s6	37
Colitis	C4	s7	88
Colitis	C4	s8	122
Colitis	C4	s9	10
Colitis	C5	s1	182
Colitis	C5	s2	70
Colitis	C5	s3	322
Colitis	C5	s4	347
Colitis	C5	s5	89
Colitis	C5	s6	40
Colitis	C5	s7	95
Colitis	C5	s8	42
Colitis	C5	s9	35
Colitis	C6	s1	663
Colitis	C6	s2	173
Colitis	C6	s3	151
Colitis	C6	s4	225
Colitis	C6	s5	154
Colitis	C6	s6	75
Colitis	C6	s7	44
Colitis	C6	s8	59
Colitis	C6	s9	9
Colitis	C7	s1	827
Colitis	C7	s2	317
Colitis	C7	s3	374
Colitis	C7	s4	430
Colitis	C7	s5	34
Colitis	C7	s6	24
Colitis	C7	s7	77
Colitis	C7	s8	58
Colitis	C7	s9	2
Colitis	C8	s1	277
Colitis	C8	s2	108
Colitis	C8	s3	326
Colitis	C8	s4	1191
Colitis	C8	s5	166
Colitis	C8	s6	193
Colitis	C8	s7	63
Colitis	C8	s8	49
Colitis	C8	s9	40
Control	CT1	s1	499
Control	CT1	s2	366
Control	CT1	s3	219
Control	CT1	s4	39
Control	CT1	s5	533
Control	CT1	s6	200
Control	CT1	s7	64
Control	CT1	s8	48
Control	CT1	s9	13
Control	CT2	s1	659
Control	CT2	s2	203
Control	CT2	s3	232
Control	CT2	s4	17
Control	CT2	s5	224
Control	CT2	s6	241
Control	CT2	s7	137
Control	CT2	s8	28
Control	CT2	s9	9
Control	CT3	s1	1122
Control	CT3	s2	367
Control	CT3	s3	153
Control	CT3	s4	23
Control	CT3	s5	140
Control	CT3	s6	163
Control	CT3	s7	161
Control	CT3	s8	23
Control	CT3	s9	2
Control	CT4	s1	515
Control	CT4	s2	128
Control	CT4	s3	257
Control	CT4	s4	45
Control	CT4	s5	162
Control	CT4	s6	38
Control	CT4	s7	67
Control	CT4	s8	69
Control	CT4	s9	4
Control	CT5	s1	409
Control	CT5	s2	141
Control	CT5	s3	171
Control	CT5	s4	17
Control	CT5	s5	221
Control	CT5	s6	16
Control	CT5	s7	23
Control	CT5	s8	70
Control	CT5	s9	10
Control	CT6	s1	1471
Control	CT6	s2	329
Control	CT6	s3	118
Control	CT6	s4	10
Control	CT6	s5	253
Control	CT6	s6	65
Control	CT6	s7	128
Control	CT6	s8	24
Control	CT6	s9	3
Control	CT7	s1	681
Control	CT7	s2	153
Control	CT7	s3	115
Control	CT7	s4	15
Control	CT7	s5	72
Control	CT7	s6	47
Control	CT7	s7	36
Control	CT7	s8	33
Control	CT7	s9	1
Control	CT8	s1	568
Control	CT8	s2	288
Control	CT8	s3	172
Control	CT8	s4	19
Control	CT8	s5	369
Control	CT8	s6	219
Control	CT8	s7	106
Control	CT8	s8	46
Control	CT8	s9	3
NoColitis	NC1	s1	805
NoColitis	NC1	s2	254
NoColitis	NC1	s3	234
NoColitis	NC1	s4	35
NoColitis	NC1	s5	342
NoColitis	NC1	s6	476
NoColitis	NC1	s7	37
NoColitis	NC1	s8	71
NoColitis	NC1	s9	2
NoColitis	NC2	s1	876
NoColitis	NC2	s2	517
NoColitis	NC2	s3	130
NoColitis	NC2	s4	42
NoColitis	NC2	s5	190
NoColitis	NC2	s6	45
NoColitis	NC2	s7	79
NoColitis	NC2	s8	66
NoColitis	NC2	s9	4
NoColitis	NC3	s1	724
NoColitis	NC3	s2	264
NoColitis	NC3	s3	160
NoColitis	NC3	s4	29
NoColitis	NC3	s5	168
NoColitis	NC3	s6	15
NoColitis	NC3	s7	52
NoColitis	NC3	s8	22
NoColitis	NC3	s9	7
NoColitis	NC4	s1	1273
NoColitis	NC4	s2	195
NoColitis	NC4	s3	101
NoColitis	NC4	s4	27
NoColitis	NC4	s5	77
NoColitis	NC4	s6	15
NoColitis	NC4	s7	31
NoColitis	NC4	s8	42
NoColitis	NC4	s9	3
NoColitis	NC5	s1	869
NoColitis	NC5	s2	268
NoColitis	NC5	s3	135
NoColitis	NC5	s4	20
NoColitis	NC5	s5	356
NoColitis	NC5	s6	38
NoColitis	NC5	s7	16
NoColitis	NC5	s8	79
NoColitis	NC5	s9	9
NoColitis	NC6	s1	908
NoColitis	NC6	s2	390
NoColitis	NC6	s3	147
NoColitis	NC6	s4	44
NoColitis	NC6	s5	156
NoColitis	NC6	s6	82
NoColitis	NC6	s7	69
NoColitis	NC6	s8	52
NoColitis	NC6	s9	5
