Diagnosis	Sample	cd4_subcluster	.n	.frac
Colitis	C1	s1	170	0.160377358490566
Colitis	C1	s2	50	0.0471698113207547
Colitis	C1	s3	161	0.15188679245283
Colitis	C1	s4	327	0.308490566037736
Colitis	C1	s5	111	0.104716981132075
Colitis	C1	s6	147	0.138679245283019
Colitis	C1	s7	44	0.0415094339622641
Colitis	C1	s8	34	0.0320754716981132
Colitis	C1	s9	16	0.0150943396226415
Colitis	C2	s1	88	0.0617977528089888
Colitis	C2	s2	56	0.0393258426966292
Colitis	C2	s3	399	0.280196629213483
Colitis	C2	s4	645	0.452949438202247
Colitis	C2	s5	75	0.0526685393258427
Colitis	C2	s6	51	0.035814606741573
Colitis	C2	s7	28	0.0196629213483146
Colitis	C2	s8	62	0.0435393258426966
Colitis	C2	s9	20	0.0140449438202247
Colitis	C3	s1	298	0.200538358008075
Colitis	C3	s2	181	0.121803499327052
Colitis	C3	s3	229	0.154104979811575
Colitis	C3	s4	218	0.146702557200538
Colitis	C3	s5	106	0.0713324360699865
Colitis	C3	s6	210	0.141318977119785
Colitis	C3	s7	167	0.112382234185734
Colitis	C3	s8	53	0.0356662180349933
Colitis	C3	s9	24	0.0161507402422611
Colitis	C4	s1	454	0.230573895378365
Colitis	C4	s2	200	0.101574403250381
Colitis	C4	s3	346	0.175723717623159
Colitis	C4	s4	593	0.301168105637379
Colitis	C4	s5	119	0.0604367699339766
Colitis	C4	s6	37	0.0187912646013205
Colitis	C4	s7	88	0.0446927374301676
Colitis	C4	s8	122	0.0619603859827324
Colitis	C4	s9	10	0.00507872016251905
Colitis	C5	s1	182	0.148936170212766
Colitis	C5	s2	70	0.0572831423895254
Colitis	C5	s3	322	0.263502454991817
Colitis	C5	s4	347	0.283960720130933
Colitis	C5	s5	89	0.0728314238952537
Colitis	C5	s6	40	0.0327332242225859
Colitis	C5	s7	95	0.0777414075286416
Colitis	C5	s8	42	0.0343698854337152
Colitis	C5	s9	35	0.0286415711947627
Colitis	C6	s1	663	0.426915647134578
Colitis	C6	s2	173	0.111397295556986
Colitis	C6	s3	151	0.0972311654861558
Colitis	C6	s4	225	0.144880875724404
Colitis	C6	s5	154	0.0991629104958145
Colitis	C6	s6	75	0.0482936252414681
Colitis	C6	s7	44	0.0283322601416613
Colitis	C6	s8	59	0.0379909851899549
Colitis	C6	s9	9	0.00579523502897617
Colitis	C7	s1	827	0.385907606159589
Colitis	C7	s2	317	0.147923471768549
Colitis	C7	s3	374	0.17452169855343
Colitis	C7	s4	430	0.200653289780681
Colitis	C7	s5	34	0.0158656089594027
Colitis	C7	s6	24	0.0111992533831078
Colitis	C7	s7	77	0.0359309379374708
Colitis	C7	s8	58	0.0270648623425105
Colitis	C7	s9	2	0.000933271115258983
Colitis	C8	s1	277	0.11479486116867
Colitis	C8	s2	108	0.0447575631993369
Colitis	C8	s3	326	0.135101533360961
Colitis	C8	s4	1191	0.493576460837132
Colitis	C8	s5	166	0.0687940323249068
Colitis	C8	s6	193	0.079983423124741
Colitis	C8	s7	63	0.0261085785329465
Colitis	C8	s8	49	0.0203066721922918
Colitis	C8	s9	40	0.0165768752590137
Control	CT1	s1	499	0.251892983341747
Control	CT1	s2	366	0.184755174154467
Control	CT1	s3	219	0.110550227158001
Control	CT1	s4	39	0.0196870267541646
Control	CT1	s5	533	0.269056032306916
Control	CT1	s6	200	0.100959111559818
Control	CT1	s7	64	0.0323069156991418
Control	CT1	s8	48	0.0242301867743564
Control	CT1	s9	13	0.00656234225138819
Control	CT2	s1	659	0.376571428571429
Control	CT2	s2	203	0.116
Control	CT2	s3	232	0.132571428571429
Control	CT2	s4	17	0.00971428571428571
Control	CT2	s5	224	0.128
Control	CT2	s6	241	0.137714285714286
Control	CT2	s7	137	0.0782857142857143
Control	CT2	s8	28	0.016
Control	CT2	s9	9	0.00514285714285714
Control	CT3	s1	1122	0.520891364902507
Control	CT3	s2	367	0.170380687093779
Control	CT3	s3	153	0.0710306406685237
Control	CT3	s4	23	0.010677808727948
Control	CT3	s5	140	0.0649953574744661
Control	CT3	s6	163	0.0756731662024141
Control	CT3	s7	161	0.074744661095636
Control	CT3	s8	23	0.010677808727948
Control	CT3	s9	2	0.000928505106778087
Control	CT4	s1	515	0.400778210116732
Control	CT4	s2	128	0.0996108949416342
Control	CT4	s3	257	0.2
Control	CT4	s4	45	0.0350194552529183
Control	CT4	s5	162	0.126070038910506
Control	CT4	s6	38	0.0295719844357977
Control	CT4	s7	67	0.0521400778210117
Control	CT4	s8	69	0.0536964980544747
Control	CT4	s9	4	0.00311284046692607
Control	CT5	s1	409	0.379406307977737
Control	CT5	s2	141	0.130797773654917
Control	CT5	s3	171	0.158627087198516
Control	CT5	s4	17	0.0157699443413729
Control	CT5	s5	221	0.205009276437848
Control	CT5	s6	16	0.0148423005565863
Control	CT5	s7	23	0.0213358070500928
Control	CT5	s8	70	0.0649350649350649
Control	CT5	s9	10	0.00927643784786642
Control	CT6	s1	1471	0.612661391087047
Control	CT6	s2	329	0.137026239067055
Control	CT6	s3	118	0.0491461890878801
Control	CT6	s4	10	0.0041649312786339
Control	CT6	s5	253	0.105372761349438
Control	CT6	s6	65	0.0270720533111204
Control	CT6	s7	128	0.053311120366514
Control	CT6	s8	24	0.00999583506872137
Control	CT6	s9	3	0.00124947938359017
Control	CT7	s1	681	0.590633130962706
Control	CT7	s2	153	0.132697311361665
Control	CT7	s3	115	0.0997398091934085
Control	CT7	s4	15	0.013009540329575
Control	CT7	s5	72	0.0624457935819601
Control	CT7	s6	47	0.0407632263660017
Control	CT7	s7	36	0.0312228967909801
Control	CT7	s8	33	0.028620988725065
Control	CT7	s9	1	0.000867302688638335
Control	CT8	s1	568	0.31731843575419
Control	CT8	s2	288	0.160893854748603
Control	CT8	s3	172	0.0960893854748603
Control	CT8	s4	19	0.0106145251396648
Control	CT8	s5	369	0.206145251396648
Control	CT8	s6	219	0.122346368715084
Control	CT8	s7	106	0.0592178770949721
Control	CT8	s8	46	0.0256983240223464
Control	CT8	s9	3	0.00167597765363128
NoColitis	NC1	s1	805	0.356826241134752
NoColitis	NC1	s2	254	0.112588652482269
NoColitis	NC1	s3	234	0.103723404255319
NoColitis	NC1	s4	35	0.0155141843971631
NoColitis	NC1	s5	342	0.151595744680851
NoColitis	NC1	s6	476	0.210992907801418
NoColitis	NC1	s7	37	0.0164007092198582
NoColitis	NC1	s8	71	0.0314716312056738
NoColitis	NC1	s9	2	0.000886524822695035
NoColitis	NC2	s1	876	0.449461262185736
NoColitis	NC2	s2	517	0.265264238070806
NoColitis	NC2	s3	130	0.0667008722421755
NoColitis	NC2	s4	42	0.021549512570549
NoColitis	NC2	s5	190	0.0974858902001026
NoColitis	NC2	s6	45	0.0230887634684454
NoColitis	NC2	s7	79	0.0405336069779374
NoColitis	NC2	s8	66	0.0338635197537199
NoColitis	NC2	s9	4	0.00205233453052848
NoColitis	NC3	s1	724	0.502428868841083
NoColitis	NC3	s2	264	0.183206106870229
NoColitis	NC3	s3	160	0.111034004163775
NoColitis	NC3	s4	29	0.0201249132546842
NoColitis	NC3	s5	168	0.116585704371964
NoColitis	NC3	s6	15	0.0104094378903539
NoColitis	NC3	s7	52	0.0360860513532269
NoColitis	NC3	s8	22	0.0152671755725191
NoColitis	NC3	s9	7	0.00485773768216516
NoColitis	NC4	s1	1273	0.721655328798186
NoColitis	NC4	s2	195	0.110544217687075
NoColitis	NC4	s3	101	0.0572562358276644
NoColitis	NC4	s4	27	0.0153061224489796
NoColitis	NC4	s5	77	0.0436507936507936
NoColitis	NC4	s6	15	0.00850340136054422
NoColitis	NC4	s7	31	0.0175736961451247
NoColitis	NC4	s8	42	0.0238095238095238
NoColitis	NC4	s9	3	0.00170068027210884
NoColitis	NC5	s1	869	0.485474860335196
NoColitis	NC5	s2	268	0.149720670391061
NoColitis	NC5	s3	135	0.0754189944134078
NoColitis	NC5	s4	20	0.0111731843575419
NoColitis	NC5	s5	356	0.198882681564246
NoColitis	NC5	s6	38	0.0212290502793296
NoColitis	NC5	s7	16	0.00893854748603352
NoColitis	NC5	s8	79	0.0441340782122905
NoColitis	NC5	s9	9	0.00502793296089385
NoColitis	NC6	s1	908	0.490016189962223
NoColitis	NC6	s2	390	0.210469508904479
NoColitis	NC6	s3	147	0.0793308148947652
NoColitis	NC6	s4	44	0.0237452779276848
NoColitis	NC6	s5	156	0.0841878035617917
NoColitis	NC6	s6	82	0.0442525634106854
NoColitis	NC6	s7	69	0.0372369131138694
NoColitis	NC6	s8	52	0.0280626011872639
NoColitis	NC6	s9	5	0.00269832703723691
