cd4_subcluster	Diagnosis	.n	.frac
s1	Colitis	2959	0.206374668712512
s1	Control	5924	0.41316780583066
s1	NoColitis	5455	0.380457525456828
s2	Colitis	1155	0.230171383021124
s2	Control	1975	0.393583100836987
s2	NoColitis	1888	0.376245516141889
s3	Colitis	2308	0.496130696474635
s3	Control	1437	0.30889939810834
s3	NoColitis	907	0.194969905417025
s4	Colitis	3976	0.912345112436898
s4	Control	185	0.0424506654428637
s4	NoColitis	197	0.0452042221202386
s5	Colitis	854	0.207432596550887
s5	Control	1974	0.47947534612582
s5	NoColitis	1289	0.313092057323294
s6	Colitis	777	0.318834632745178
s6	Control	989	0.405826836274107
s6	NoColitis	671	0.275338530980714
s7	Colitis	606	0.375930521091811
s7	Control	722	0.447890818858561
s7	NoColitis	284	0.176178660049628
s8	Colitis	479	0.415798611111111
s8	Control	341	0.296006944444444
s8	NoColitis	332	0.288194444444444
s9	Colitis	156	0.675324675324675
s9	Control	45	0.194805194805195
s9	NoColitis	30	0.12987012987013
