Gene	Expression
1	ACTB	177.199546835853
2	TMSB4X	174.734138740579
3	B2M	150.709549292234
4	MALAT1	125.777477414888
5	MT-CO1	113.731773402626
6	EEF1A1	102.029459313354
7	MT-CO2	78.5752258077187
8	HLA-B	73.6134300455285
9	ACTG1	70.9616830635771
10	RPLP1	68.0591616746376
11	RPL10	61.7116460854817
12	HLA-A	56.0667425831288
13	PFN1	54.696063997742
14	RPL28	53.7852571344958
15	MT-CO3	51.4088249913592
16	RPS15A	48.7234501238784
17	TMSB10	47.9926023599926
18	RPS27	45.3425334294195
19	RPL13	41.3761607779835
20	RPS12	39.8402175705647
21	MT-CYB	36.8813859769735
22	TPT1	36.4731422937419
23	RPL30	35.1476110431615
24	MT-ATP6	34.4614980282302
25	MT-ND4L	34.0148450804003
26	RPS4X	33.5518706561794
27	HLA-C	33.4446365722818
28	CD74	33.3767528274662
29	RPL32	33.1305009171598
30	RPL19	32.2151465454071
31	GZMK	32.0354439794539
32	RPL11	31.4911940363522
33	RPS8	31.1491394426728
34	RPS27A	30.4759397305387
35	RPS3	30.3269276615456
36	RPS14	29.4891087231987
37	GAPDH	29.3216855984393
38	RPL39	28.615817137801
39	RPS15	28.5449805204683
40	IL32	28.4076849539678
41	RPL37	27.9899100816646
42	RPS24	27.9459136173709
43	RPS3A	27.8861001530257
44	RPL7A	27.8189336143334
45	MT-ATP8	27.5591680259396
46	RPL26	27.3882860592501
47	RPL34	27.2279313298721
48	RPS28	26.201856072893
49	RPL18A	26.1938328286156
50	RPS23	26.1779070372973
51	RPL12	26.0525367684078
52	RPS2	25.672417385516
53	RPS18	25.3044567250289
54	RPS19	25.202685665493
55	RPL29	24.9344102076958
56	RPS13	24.3901420874121
57	ARHGDIB	24.2872001006747
58	RPL18	23.7073752747786
59	RACK1	23.1519364899389
60	MT-ND3	23.00729611287
61	RPS7	22.8237391846478
62	CFL1	22.7911538525151
63	PTPRCAP	22.5466319636023
64	SRGN	22.2269453757299
65	RPL6	22.1736413055816
66	RPL35A	21.9135163369872
67	RPLP0	21.4885992260606
68	SH3BGRL3	21.4820976743341
69	RPL15	21.3158890418879
70	RPL14	21.2333470096221
71	CORO1A	21.214139506114
