Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
RNA binding (GO:0003723)	107/1406	4.11511861341786e-57	1.06581572087523e-54	0	0	10.6281701362533	1379.88384036855	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;RPL10A;SRP14;RPL9;RPL6;RPL7;RPS15;RPS14;ZFP36;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;HLA-A;EEF1A1;SUB1;RPL24;RPL27;S100A4;RPL26;PFN1;RPL29;PPIB;RPL28;PPIA;SRSF7;DDX5;CORO1A;ZFP36L2;ZFP36L1;PCBP1;UBC;BTF3;HSPA8;RPL41;JUN;EEF2;EIF1;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS21;RPS24;RPS23;HSP90AB1;RPLP0;HMGB1;YBX1;RPS4X;RPL7A;TMSB4X;SUMO2;RACK1;HSP90AA1;RPL13A;RPS3A;YWHAZ;RPL37A;PABPC1;RPL10;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPS2;RPL15;RPS27A;RPL18;HNRNPA1;RPL17;RPL19;NPM1;RPL35A;RPL23A;HNRNPA2B1;FAU;VIM;HSPA1B;TPT1;HSPA1A
cadherin binding (GO:0045296)	26/322	4.8695640206011e-14	6.30608540667843e-12	0	0	7.62855936293436	233.839655871186	HSP90AB1;YWHAB;RPL34;RPL6;CNN2;RPL7A;DNAJB1;PCBP1;RACK1;RPL14;RPS2;RPL15;CLIC1;HSPA8;ANXA1;RPL23A;EEF2;YWHAZ;RPS26;EEF1G;EEF1D;RPL24;TAGLN2;PFN1;RPL29;HSPA1A
mRNA binding (GO:0003729)	20/263	1.34320911945595e-10	1.15963720646364e-08	0	0	6.98049740561818	158.672215832855	RPL5;RPL41;DDX5;RPS7;RPS5;RPL13A;RPS3A;RPL7;ZFP36L1;RPS26;RPS14;ZFP36;PCBP1;HNRNPA2B1;RPS3;RPL35;RPL26;PABPC1;RPS2;RPS13
rRNA binding (GO:0019843)	9/42	2.00761327816966e-09	1.29992959761485e-07	0	0	22.3127121840815	446.841497402765	RPL5;RPS14;RPS9;RPL12;RPS5;RPL11;RPLP0;RPS3;RPS13
ubiquitin protein ligase binding (GO:0031625)	18/265	6.96015960480501e-09	3.60536267528899e-07	0	0	6.12616920284797	115.068224726978	RPL5;HSPA8;JUN;HSP90AA1;HSP90AB1;RPL11;LAPTM5;CXCR4;YWHAZ;ACTG1;UBB;UBC;SUMO2;TXNIP;RPS27A;UBA52;HSPA1B;HSPA1A
ubiquitin ligase inhibitor activity (GO:1990948)	5/8	1.59236505720733e-08	5.92637940116923e-07	0	0	134.333333333333	2412.016843779	RPS15;RPL5;RPS7;RPL11;RPL37
mRNA 5'-UTR binding (GO:0048027)	7/25	1.73916811765458e-08	5.92637940116923e-07	0	0	31.5784179240969	564.220240431729	RPL5;RPS14;RPL41;RPS7;RPS3A;RPL26;RPS13
ubiquitin-like protein ligase binding (GO:0044389)	18/282	1.83054189997505e-08	5.92637940116923e-07	0	0	5.72668495297806	102.027012549688	RPL5;HSPA8;JUN;HSP90AA1;HSP90AB1;RPL11;LAPTM5;CXCR4;YWHAZ;ACTG1;UBB;UBC;SUMO2;TXNIP;RPS27A;UBA52;HSPA1B;HSPA1A
ubiquitin-protein transferase inhibitor activity (GO:0055105)	5/9	3.54631231527068e-08	1.02054987739456e-06	0	0	100.744897959184	1728.25580147993	RPS15;RPL5;RPS7;RPL11;RPL37
protein kinase binding (GO:0019901)	22/506	4.3934104814959e-07	1.13789331470744e-05	0	0	3.84090909090909	56.223188289138	DUSP2;NPM1;HSP90AA1;RPS7;DUSP1;RPS6;ITGB2;CD3E;EEF2;YWHAZ;ACTB;RHOA;EEF1A1;HINT1;ZFP36;PTPRC;RPS19;LCK;RACK1;RAC2;RPS3;CALM1
mRNA 3'-UTR binding (GO:0003730)	9/85	1.16191001107075e-06	2.73576993515749e-05	0	0	9.66728543350076	132.107760732534	RPL5;ZFP36;DDX5;RPL41;RPS7;HNRNPA2B1;PABPC1;ZFP36L2;ZFP36L1
MHC class II protein complex binding (GO:0023026)	5/17	1.60468663782402e-06	3.46344865997017e-05	0	0	33.5680272108844	447.88415770978	CD74;HSPA8;HSP90AA1;HSP90AB1;HLA-DRB1
kinase binding (GO:0019900)	19/461	5.96327406556729e-06	0.000118806767921687	0	0	3.59299524005406	43.2233406984458	NPM1;BTG1;HSP90AB1;RPS7;RPS6;ITGB2;CD3E;EEF2;YWHAZ;ACTB;RHOA;EEF1A1;ZFP36;PTPRC;RPS19;LCK;RAC2;RPS3;CALM1
disordered domain specific binding (GO:0097718)	5/23	8.20684922603511e-06	0.000151826710681649	0	0	22.3718820861678	261.986853175233	HSP90AA1;HSP90AB1;CALM1;GAPDH;HSPA1A
CCR1 chemokine receptor binding (GO:0031726)	3/5	1.89434841670891e-05	0.000306647649954754	0	0	119.927125506073	1304.09362254943	CCL5;CCL4;CCL3
CCR5 chemokine receptor binding (GO:0031730)	3/5	1.89434841670891e-05	0.000306647649954754	0	0	119.927125506073	1304.09362254943	CCL5;CCL4;CCL3
C3HC4-type RING finger domain binding (GO:0055131)	3/6	3.75366500858206e-05	0.000571881904248678	0	0	79.9473684210526	814.679095396716	HSPA8;HSPA1B;HSPA1A
CD4 receptor binding (GO:0042609)	3/8	0.000103169214254484	0.00148449036066175	0	0	47.9635627530364	440.264260330276	CD74;LCK;HLA-DRB1
small ribosomal subunit rRNA binding (GO:0070181)	3/9	0.000153324907903984	0.00209006058669115	0	0	39.9676113360324	351.03358422592	RPS14;RPS3;RPS13
actin monomer binding (GO:0003785)	4/25	0.000245195108732966	0.0031752766580919	0	0	15.276035617499	126.996654576506	TMSB4X;PFN1;CORO1A;TMSB10
phospholipase activator activity (GO:0016004)	3/11	0.000295642315845387	0.00364625522875977	0	0	29.9726720647773	243.568730156605	LCK;CCL5;CCL3
MHC protein binding (GO:0042287)	4/28	0.000385362338130018	0.0043980003562008	0	0	13.3644986449864	105.062687734849	CD74;CD8B;CD8A;HLA-E
lipase activator activity (GO:0060229)	3/12	0.000390556016187716	0.0043980003562008	0	0	26.6410256410256	209.077148167742	LCK;CCL5;CCL3
translation elongation factor activity (GO:0003746)	3/14	0.000634344208550911	0.00674238852449504	0	0	21.794994479205	160.474775363082	EEF1A1;EEF1B2;EEF2
chemoattractant activity (GO:0042056)	4/32	0.000650809703136587	0.00674238852449504	0	0	11.4529616724739	84.0337386374116	CCL5;CCL3;HMGB1;MIF
MHC class I protein binding (GO:0042288)	3/17	0.00115264244589889	0.0114820920572235	0	0	17.122035858878	115.842527078113	CD8B;CD8A;HLA-E
DNA polymerase binding (GO:0070182)	3/18	0.00137046516371123	0.0131463139778226	0	0	15.9797570850202	105.3482274357	HSP90AA1;HSP90AB1;HMGB1
large ribosomal subunit rRNA binding (GO:0070180)	2/5	0.00151805214104653	0.0135577760183121	0	0	53.0833333333333	344.528204964744	RPL12;RPLP0
TPR domain binding (GO:0030911)	2/5	0.00151805214104653	0.0135577760183121	0	0	53.0833333333333	344.528204964744	HSP90AA1;HSP90AB1
R-SMAD binding (GO:0070412)	3/19	0.00161248682734834	0.0139211362761073	0	0	14.9802631578947	96.322757722031	DDX5;JUN;FOS
supercoiled DNA binding (GO:0097100)	2/6	0.00225831449082148	0.0188678533265407	0	0	39.8104838709677	242.570714127107	RPS3;HMGB1
mRNA 3'-UTR AU-rich region binding (GO:0035925)	3/22	0.00249282249943507	0.0201762821048026	0	0	12.6130406989133	75.6068503035662	ZFP36;ZFP36L2;ZFP36L1
nucleoside-triphosphatase activity (GO:0017111)	10/278	0.00271534882350723	0.0213113740996477	0	0	3.02891791044776	17.8973757183588	EEF1A1;MYL6;HSP90AA1;ARHGDIB;RAC2;EEF2;GIMAP7;RHOA;HSPA1B;HSPA1A
ferric iron binding (GO:0008199)	2/7	0.00313561234654534	0.0238859881692718	0	0	31.8467741935484	183.594449369131	FTH1;FTL
5S rRNA binding (GO:0008097)	2/9	0.00528732472038491	0.038039363960547	0	0	22.7453917050691	119.241416910055	RPL5;RPL11
RAGE receptor binding (GO:0050786)	2/9	0.00528732472038491	0.038039363960547	0	0	22.7453917050691	119.241416910055	S100A4;HMGB1
miRNA binding (GO:0035198)	3/30	0.00610661140575685	0.0404219310047151	0	0	8.87224471434998	45.2341039100441	HNRNPA2B1;YBX1;HNRNPA1
histone deacetylase binding (GO:0042826)	5/93	0.00624404198245	0.0404219310047151	0	0	4.55983302411874	23.1462940494626	HSP90AA1;HSP90AB1;YWHAB;HSPA1B;HSPA1A
Tat protein binding (GO:0030957)	2/10	0.00655490773049433	0.0404219310047151	0	0	19.9012096774194	100.054152340659	NPM1;ACTB
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	2/10	0.00655490773049433	0.0404219310047151	0	0	19.9012096774194	100.054152340659	DUSP2;DUSP1
G-rich strand telomeric DNA binding (GO:0098505)	2/10	0.00655490773049433	0.0404219310047151	0	0	19.9012096774194	100.054152340659	HNRNPA2B1;HNRNPA1
protein tyrosine/threonine phosphatase activity (GO:0008330)	2/10	0.00655490773049433	0.0404219310047151	0	0	19.9012096774194	100.054152340659	DUSP2;DUSP1
actin binding (GO:0003779)	7/177	0.00697834781886881	0.0420323740717912	0	0	3.31784071653353	16.4728903472168	TMSB4X;COTL1;CXCR4;LCP1;PFN1;TMSB10;CORO1A
