Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TNF-alpha Signaling via NF-kB	32/200	1.12257659853885e-21	5.05159469342482e-20	0	0	11.7067748234941	564.719134801065	PTGER4;PPP1R15A;BTG2;TNFAIP8;CEBPB;BTG1;BCL2A1;TNFAIP3;SLC2A3;TNF;ZFP36;JUNB;PHLDA1;IER2;MCL1;EGR1;JUN;GADD45B;DUSP1;FOS;PNRC1;EIF1;NFKBIA;NR4A2;NR4A1;KLF6;GPR183;BHLHE40;FOSB;CD69;IL7R;CD44
IL-2/STAT5 Signaling	23/199	8.41341098525228e-13	1.89301747168176e-11	0	0	7.80683561070831	217.059533807647	PRNP;XBP1;RNH1;GADD45B;AHNAK;GPX4;IFNGR1;PTGER2;FLT3LG;CAPG;RORA;SLC2A3;ARL4A;KLF6;PNP;CCND2;GLIPR2;BHLHE40;BCL2;CD48;ICOS;PHLDA1;CD44
Apoptosis	20/161	7.01817493244587e-12	8.16059944921135e-11	0	0	8.41147685873806	216.027905097852	BCAP31;JUN;BTG2;ANXA1;GADD45B;GPX4;IFNGR1;HSPB1;TNF;CD2;DNAJA1;LGALS3;CCND2;PDCD4;TXNIP;TSPO;TIMP1;CD69;CD44;MCL1
Hypoxia	22/200	7.25386617707675e-12	8.16059944921135e-11	0	0	7.36016905473662	188.784556979368	PPP1R15A;JUN;BTG1;ANXA2;HSPA5;CITED2;DUSP1;CXCR4;TNFAIP3;RORA;SLC2A3;ENO1;MIF;FOS;PNRC1;PLAC8;ZFP36;KLF6;BHLHE40;BCL2;IDS;S100A4
Myc Targets V1	18/200	1.51939228348581e-08	1.13954421261436e-07	0	0	5.81723714352113	104.72405719534	DDX18;HSP90AB1;SSB;RPL34;RPS5;GLO1;CNBP;RPL22;RPLP0;RPS6;RPL6;EEF1B2;FBL;RPS3;RPL14;RPS2;RPL18;RPS10
p53 Pathway	18/200	1.51939228348581e-08	1.13954421261436e-07	0	0	5.81723714352113	104.72405719534	PPP1R15A;JUN;BTG2;BTG1;PRMT2;SLC3A2;FOS;LDHB;CCND2;PERP;SESN1;RPL36;TXNIP;STOM;S100A4;RPL18;RPS12;S100A10
Allograft Rejection	16/200	4.8586505183084e-07	3.12341819034111e-06	0	0	5.0834312573443	73.8995427447071	RPS9;IFNGR1;STAT1;CAPG;RPS3A;RPL9;TNF;CD2;CD4;CD40LG;CCND2;RPS19;CXCR3;STAT4;TIMP1;RPL39
mTORC1 Signaling	14/200	1.18695006812602e-05	5.9347503406301e-05	0	0	4.37345530412454	49.6017113416579	PPP1R15A;XBP1;BTG2;FKBP2;HSPA5;CXCR4;SLC2A3;ENO1;HSP90B1;UFM1;PNP;SERP1;PPA1;BHLHE40
Inflammatory Response	14/200	1.18695006812602e-05	5.9347503406301e-05	0	0	4.37345530412454	49.6017113416579	PTGER4;IFITM1;BTG2;PTGER2;KCNA3;EMP3;NFKBIA;KLF6;GPR183;CD48;TIMP1;CD69;IL7R;SLAMF1
UV Response Up	11/158	0.00010704960084213	0.000481723203789585	0	0	4.31799702129372	39.4760712649609	NFKBIA;DNAJA1;NR4A1;DNAJB1;BTG2;BTG1;AMD1;FOSB;FOS;AQP3;JUNB
Unfolded Protein Response	9/113	0.000164281449447371	0.000672060475011972	0	0	4.97519796380091	43.3535240358709	EIF4A2;ERN1;RPS14;XBP1;CEBPB;SERP1;HSPA5;DNAJB9;HSP90B1
Epithelial Mesenchymal Transition	12/200	0.0002150696033069	0.000806511012400876	0	0	3.686406970137	31.1300437252499	IL32;JUN;GLIPR1;LGALS1;GADD45B;TNFAIP3;CAPG;TIMP1;EMP3;VIM;PPIB;CD44
Interferon Gamma Response	11/200	0.000809221257220946	0.00260106832678161	0	0	3.35121004351774	23.8587327450436	NFKBIA;ARL4A;IFITM2;PNP;BTG1;STAT1;STAT4;LYSMD2;TXNIP;TNFAIP3;CD69
Complement	11/200	0.000809221257220946	0.00260106832678161	0	0	3.35121004351774	23.8587327450436	LGALS3;CEBPB;CD40LG;HSPA5;TNFAIP3;GATA3;TIMP1;CALM1;CD46;CTSB;HSPA1A
Adipogenesis	10/200	0.00278404145868702	0.00835212437606105	0	0	3.02142524452725	17.7776178948062	DHRS7;ARL4A;GPX4;IFNGR1;MGST3;CMPK1;PDCD4;STOM;DNAJB9;UQCR11
IL-6/JAK/STAT3 Signaling	6/87	0.00417487400979357	0.0117418331525444	0	0	4.22632545081525	23.154647099939	JUN;HAX1;IFNGR1;STAT1;TNF;CD44
DNA Repair	7/150	0.0163760341865824	0.0433483257880121	0	0	2.7922136343189	11.4814047204391	BCAP31;PNP;GPX4;DAD1;TMED2;NME3;APRT
Estrogen Response Late	8/200	0.0245333804302155	0.0582465699065313	0	0	2.37768817204301	8.81580346866246	XBP1;ZFP36;PERP;DYNLT3;BCL2;PDCD4;FOS;CD44
Angiogenesis	3/36	0.0245929961827577	0.0582465699065313	0	0	5.15449290593799	19.0989094962322	CCND2;S100A4;TIMP1
Reactive Oxygen Species Pathway	3/49	0.0538673590951744	0.121201557964143	0	0	3.6953380246293	10.7949343935219	PRNP;GPX4;JUNB
Estrogen Response Early	7/200	0.061870692477039	0.12655368915758	0	0	2.06353967821107	5.74222976799353	XBP1;DYNLT3;BHLHE40;BCL2;FOS;AQP3;CD44
Glycolysis	7/200	0.061870692477039	0.12655368915758	0	0	2.06353967821107	5.74222976799353	HAX1;HSPA5;CITED2;CXCR4;ENO1;MIF;CD44
Androgen Response	4/100	0.09782611218452	0.191398915143626	0	0	2.36171497584541	5.48995700137924	INPP4B;TNFAIP8;DNAJB9;MYL12A
UV Response Dn	5/144	0.108037883572024	0.202571031697545	0	0	2.04032123138698	4.54027244032253	INPP4B;ANXA2;CITED2;DUSP1;BHLHE40
Oxidative Phosphorylation	6/200	0.138297251674873	0.231891647409627	0	0	1.75441074809895	3.47083835035538	LDHB;ATP6V1G1;GPX4;MGST3;UQCR11;COX7C
heme Metabolism	6/200	0.138297251674873	0.231891647409627	0	0	1.75441074809895	3.47083835035538	CAST;BTG2;MGST3;YPEL5;AQP3;CTSB
Cholesterol Homeostasis	3/74	0.139134988445776	0.231891647409627	0	0	2.39110966376292	4.71601112020779	LGALS3;S100A11;PNRC1
Wnt-beta Catenin Signaling	2/42	0.166367480502751	0.267376307950849	0	0	2.82579250720461	5.06821766941562	CCND2;TCF7
Apical Surface	2/44	0.17884001139334	0.277510362506906	0	0	2.69095649787292	4.63184564094975	HSPB1;GATA3
Protein Secretion	3/96	0.235262907001957	0.341424380423685	0	0	1.82341972776431	2.63858250195598	TMED10;TMED2;ATP1A1
Interferon Alpha Response	3/97	0.239902274446018	0.341424380423685	0	0	1.80392940597712	2.57515185094865	IFITM1;IFITM2;TXNIP
TGF-beta Signaling	2/54	0.24279067052351	0.341424380423685	0	0	2.17235646198182	3.0750914528573	PPP1R15A;JUNB
KRAS Signaling Up	5/200	0.271305602781284	0.369962185610842	0	0	1.45020870602266	1.89181090045748	PPP1R15A;CCND2;CXCR4;TNFAIP3;IL7R
Fatty Acid Metabolism	4/158	0.297818020926474	0.394170910049745	0	0	1.46787125917561	1.77799230561905	LGALS1;OSTC;MIF;S100A10
Notch Signaling	1/32	0.430939939265492	0.54212036509463	0	0	1.81868743047831	1.5309466187965	SKP1
Coagulation	3/138	0.433696292075704	0.54212036509463	0	0	1.25343609505459	1.0471340229562	ANXA1;TIMP1;CTSB
Myogenesis	4/200	0.462655212835364	0.562688772367334	0	0	1.150842945874	0.887038880535294	EIF4A2;PRNP;GADD45B;BHLHE40
Pperoxisome	2/104	0.54429160779644	0.634006409041668	0	0	1.10465050573544	0.671925908940724	CNBP;TSPO
PI3K/AKT/mTOR  Signaling	2/105	0.549472221169446	0.634006409041668	0	0	1.09386978540052	0.655006010796683	CXCR4;HSP90B1
Myc Targets V2	1/58	0.640306509343106	0.720344823010994	0	0	0.987799959669288	0.440369417229643	DDX18
KRAS Signaling Dn	3/200	0.681117547295258	0.734444216199708	0	0	0.856224876030633	0.328807800457649	NR4A2;BTG2;CD40LG
Spermatogenesis	2/135	0.685481268453061	0.734444216199708	0	0	0.845832159649845	0.31941507120838	ARL4A;PEBP1
Apical Junction	2/200	0.866689339927868	0.907000472017536	0	0	0.566267865979682	0.0810185951506505	ICAM2;CD99
G2-M Checkpoint	1/200	0.970944066615854	0.970944066615854	0	0	0.280887194593658	0.00828235673828107	AMD1
Xenobiotic Metabolism	1/200	0.970944066615854	0.970944066615854	0	0	0.280887194593658	0.00828235673828107	DHRS7
