p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.70068121412533	0.941	0.161	0	c5	GZMK
0	2.05252012527867	0.91	0.401	0	c5	CCL4
0	0.528161322185901	0.925	0.459	0	c5	GZMA
0	1.86756832048993	0.965	0.518	0	c5	NKG7
0	1.16335789621373	0.856	0.416	0	c5	CD8A
0	1.47244699380282	0.747	0.315	0	c5	HLA-DPB1
0	3.86503780223239	0.473	0.053	0	c5	EOMES
0	3.17766712104922	0.519	0.103	0	c5	PLEK
0	1.27683552444207	0.777	0.362	0	c5	CD8B
0	1.31907609696426	0.781	0.37	0	c5	HLA-DPA1
0	1.19886236511357	0.73	0.32	0	c5	HLA-DRB1
0	2.49065591317537	0.57	0.17	0	c5	GZMH
0	2.59220504009081	0.559	0.178	0	c5	KLRG1
0	1.56543192252092	0.829	0.453	0	c5	CTSW
0	2.31154635932321	0.532	0.168	0	c5	SAMD3
0	2.33041803900773	0.533	0.18	0	c5	CCL4L2
0	1.87500775493865	0.684	0.347	0	c5	SH2D1A
0	1.58759750550318	0.724	0.426	0	c5	APOBEC3G
0	2.35841900956443	0.401	0.114	0	c5	CRTAM
0	2.49745061694339	0.531	0.247	0	c5	CMC1
0	1.62812612057471	0.569	0.285	0	c5	IFNG
0	2.04312096054986	0.528	0.246	0	c5	TNFSF9
0	1.30200932099963	0.867	0.593	0	c5	ITGB2
0	1.43199113577987	0.444	0.18	0	c5	XCL2
0	1.82766990410015	0.982	0.724	0	c5	CST7
0	0.562598713323244	0.99	0.74	0	c5	CCL5
0	1.60496953448802	0.34	0.099	0	c5	HLA-DQA1
0	1.15468493244072	0.668	0.442	0	c5	LITAF
0	1.57783281396262	0.343	0.122	0	c5	HLA-DRB5
0	1.23620233368058	0.848	0.629	0	c5	GZMM
0	1.36313019568119	0.56	0.36	0	c5	APMAP
0	1.14468850755419	0.896	0.75	0	c5	DUSP2
0	1.02867935358004	0.986	0.888	0	c5	CD74
0	0.712144125117914	0.972	0.902	0	c5	HCST
0	0.35817351318132	1	0.998	0	c5	RPS27
0	0.591185113400231	1	0.998	0	c5	HLA-A
0	0.567842688113096	1	0.998	0	c5	HLA-C
0	0.553768849080414	1	0.999	0	c5	HLA-B
0	0.329395001317704	1	1	0	c5	B2M
2.87302155294014e-302	0.451447550521671	0.987	0.973	9.63553968425063e-298	c5	PTPRC
2.49178684438324e-299	1.68960847498196	0.407	0.198	8.35695471869252e-295	c5	LYST
1.87845681657233e-295	1.8281131944495	0.327	0.127	6.29996847142027e-291	c5	CCL3
3.33636851026739e-280	0.901321069343647	0.706	0.481	1.11895127097348e-275	c5	PRF1
3.302634506305e-271	0.814184704596983	0.76	0.562	1.10763756072457e-266	c5	CD27
2.37326073407981e-261	0.3704376773225	0.997	0.992	7.95944184995687e-257	c5	HLA-E
3.09056766922573e-261	1.84568911537735	0.302	0.125	1.03651458490493e-256	c5	OASL
2.04683891161417e-259	1.1785425343694	0.512	0.293	6.8646883417716e-255	c5	AOAH
1.17849886501135e-258	1.23768783332785	0.36	0.164	3.95244949347507e-254	c5	HLA-DQB1
1.8101116521579e-258	0.450163166624585	0.984	0.965	6.07075245900717e-254	c5	CYBA
4.24838011208582e-258	0.98175827875677	0.674	0.477	1.42482172199134e-253	c5	MT2A
1.60223436575939e-254	1.50927546224823	0.395	0.2	5.37357361588383e-250	c5	SLAMF7
1.19892228843212e-253	0.388330138185953	0.993	0.974	4.02094557094363e-249	c5	PTPRCAP
8.30607364513767e-222	0.987932602214963	0.622	0.476	2.78569097910627e-217	c5	ARPC5L
4.88269833239737e-217	0.718403683058172	0.877	0.812	1.63755936671943e-212	c5	TAGAP
1.26170067916908e-196	0.456895553087987	0.949	0.908	4.23149173779725e-192	c5	CD99
8.15888717849712e-184	0.848685627996908	0.479	0.277	2.73632758192436e-179	c5	KLF2
1.01904172371696e-175	0.566961000857803	0.845	0.742	3.41766213300195e-171	c5	GIMAP4
4.2235506342195e-175	1.19142301553351	0.361	0.201	1.41649441170454e-170	c5	HLA-DMA
1.3597058687435e-174	0.49903973385436	0.908	0.828	4.56018154259194e-170	c5	PSMB9
1.20092401570997e-173	1.14126095431234	0.44	0.269	4.0276589638881e-169	c5	LINC00861
2.68839940567962e-173	0.354284893298768	0.383	0.201	9.0163539267683e-169	c5	HLA-DRA
3.91063667781941e-168	0.605895778340554	0.782	0.691	1.31154932900707e-163	c5	CTSC
8.6635303165349e-168	0.708919099996185	0.564	0.368	2.90557479755947e-163	c5	TIGIT
4.19960437335306e-160	0.393826402709569	0.929	0.88	1.40846331473515e-155	c5	RARRES3
1.86378077611135e-159	1.28347723760029	0.348	0.197	6.25074796692224e-155	c5	F2R
3.95630623010238e-142	0.600930554926324	0.765	0.699	1.32686598345174e-137	c5	HLA-F
9.97894487350031e-139	0.214941987384647	0.998	0.995	3.34673853167453e-134	c5	RPL23A
1.57996760601002e-138	0.49818805697483	0.862	0.789	5.29889535703642e-134	c5	GIMAP7
3.98079317532177e-138	0.456788658745567	0.886	0.826	1.33507841513942e-133	c5	STK17A
9.29202858056296e-137	0.506650781610133	0.566	0.4	3.11636054534921e-132	c5	LAG3
2.27439297238564e-134	0.475415661433386	0.877	0.75	7.62785915078697e-130	c5	CXCR4
6.23666238214779e-132	0.738563682387006	0.37	0.218	2.09165182972473e-127	c5	FABP5
1.43559813117755e-130	0.921905832430231	0.464	0.322	4.81470901234327e-126	c5	LYAR
1.71600073211161e-124	1.20720441734657	0.342	0.214	5.75512325535592e-120	c5	PLA2G16
7.11217243025467e-124	0.424912293678247	0.98	0.95	2.38528038965881e-119	c5	IFITM1
