Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	68/158	9.2629599854351e-78	1.93595863695594e-75	0	0	51.8470175438596	9196.39655033284	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPS20;FAU;RPS21;RPS23
Coronavirus disease	72/232	4.13047431632513e-70	4.31634566055976e-68	0	0	31.2069395017794	4985.70067759324	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPLP2;RPL38;RPL37;RPS11;RPL39;IL6R;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;IRF3;RPL24;RPL26;RPL29;IL6ST;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;STAT3;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPS20;FAU;RPS21;RPS23
T cell receptor signaling pathway	12/104	3.05713361217198e-07	2.12980308314648e-05	0	0	7.47991839857198	112.203397835464	ITK;ZAP70;CD4;PTPRC;CD40LG;CD28;CTLA4;NFATC1;PDCD1;ICOS;LAT;MALT1
PD-L1 expression and PD-1 checkpoint pathway in cancer	9/89	2.75689170460265e-05	0.00144047591565489	0	0	6.39909156976744	67.1829208817353	EML4;ZAP70;CD4;STAT3;CD28;NFATC1;PDCD1;HIF1A;LAT
Primary immunodeficiency	6/38	4.96432890029423e-05	0.00207508948032299	0	0	10.5988832853026	105.041794467207	ZAP70;CD4;CD40LG;PTPRC;ICOS;JAK3
Cell adhesion molecules	11/148	6.57456780858898e-05	0.00229014111999183	0	0	4.58039868527767	44.1079413531772	CD4;PTPRC;CD40LG;CD6;ITGB2;ICAM2;CD28;CTLA4;PDCD1;ICOS;TIGIT
Th17 cell differentiation	9/107	0.000117814517501734	0.00351760487969463	0	0	5.21894280968201	47.2126393057054	ZAP70;CD4;STAT3;NFATC1;IL6ST;IL6R;HIF1A;JAK3;LAT
NF-kappa B signaling pathway	8/104	0.000514557917391096	0.0134428255918424	0	0	4.72246376811594	35.7594516619807	CYLD;ZAP70;CD40LG;ATM;TRAF1;LTB;LAT;MALT1
RNA transport	10/186	0.0017810423818051	0.041359761977474	0	0	3.22538430956798	20.4184775360195	EEF1A1;EIF2S3;FUS;PABPC4;EIF3E;PABPC1;EIF3F;EIF1B;EIF4B;EIF1
Yersinia infection	8/137	0.00302952317298204	0.0633170343153245	0	0	3.50845972362656	20.3467860402972	ZAP70;CD4;FYB1;IRF3;ELMO1;RHOG;NFATC1;LAT
Spliceosome	8/150	0.0052395535388837	0.0980825009221987	0	0	3.18513982445397	16.7268222636763	DDX5;PRPF38B;SNW1;FUS;SRSF5;HNRNPA1;RBMX;BCAS2
Th1 and Th2 cell differentiation	6/92	0.00579103900869652	0.0980825009221987	0	0	3.93291334360968	20.2601810950188	ZAP70;CD4;MAF;NFATC1;JAK3;LAT
Rheumatoid arthritis	6/93	0.00610082541621332	0.0980825009221987	0	0	3.88750869522011	19.8236943907843	ATP6V0E1;ITGB2;CD28;CTLA4;LTB;ATP6V0E2
Kaposi sarcoma-associated herpesvirus infection	9/193	0.00747989948085708	0.111664213678509	0	0	2.76742606167846	13.5480337060403	IRF3;STAT3;TCF7;LEF1;NFATC1;RPS27A;IL6ST;UBA52;HIF1A
Intestinal immune network for IgA production	4/48	0.0100797484059278	0.140444494455927	0	0	5.10627767647825	23.4747174831918	CD40LG;CD28;CXCR4;ICOS
Ubiquitin mediated proteolysis	7/140	0.0122537003522299	0.147084718947968	0	0	2.96836020687557	13.0665058844149	SOCS3;SOCS1;UBE2B;RPS27A;UBA52;SKP1;PIAS1
Shigellosis	10/246	0.0123702816766756	0.147084718947968	0	0	2.39795918367347	10.5329357718672	IRF3;ELMO1;ATM;RPS27A;UBA52;ATG12;CD44;MALT1;CYTH1;SKP1
HIF-1 signaling pathway	6/109	0.0128453718494609	0.147084718947968	0	0	3.28093785848186	14.2877353351616	LDHB;CDKN1B;RPS6;STAT3;IL6R;HIF1A
Salmonella infection	10/249	0.0133713380861789	0.147084718947968	0	0	2.36749332129744	10.2148856728391	PTPRC;TCF7;LEF1;RHOG;RPS3;ELMO1;RHOH;GCC2;CYTH1;SKP1
Chemokine signaling pathway	8/192	0.0210145809843121	0.219602371286061	0	0	2.45280403276623	9.47405062175867	ITK;RAP1A;STAT3;ELMO1;CXCR5;CXCR4;CCR7;JAK3
JAK-STAT signaling pathway	7/162	0.0251601340477898	0.240240839045271	0	0	2.54417303747902	9.36890326679582	SOCS3;SOCS1;STAT3;IL6ST;IL6R;JAK3;PIAS1
Osteoclast differentiation	6/127	0.0252885093731864	0.240240839045271	0	0	2.79029223331031	10.2610350605624	SOCS3;CYLD;SOCS1;CAMK4;NFATC1;JUNB
Natural killer cell mediated cytotoxicity	6/131	0.0288656994797742	0.249077346170735	0	0	2.70044956772334	9.57336715960105	ZAP70;SH2D1A;ITGB2;ICAM2;NFATC1;LAT
Acute myeloid leukemia	4/67	0.0306579379092087	0.249077346170735	0	0	3.56283258288989	12.4159858108537	LEF1;TCF7;STAT3;PIM2
Hematopoietic cell lineage	5/99	0.0309994109026739	0.249077346170735	0	0	2.9886585962338	10.381963611604	CD4;CD5;CD37;IL6R;CD44
Mitophagy	4/68	0.0321367109081007	0.249077346170735	0	0	3.50698424068768	12.0561570282312	TOMM7;RPS27A;UBA52;HIF1A
Viral protein interaction with cytokine and cytokine receptor	5/100	0.0321774562038748	0.249077346170735	0	0	2.95704779189353	10.1618627697386	CXCR5;CXCR4;CCR7;IL6ST;IL6R
Measles	6/139	0.036982572665249	0.267968169877559	0	0	2.53697644688089	8.36519396795734	CDKN1B;IRF3;STAT3;CD28;RACK1;JAK3
Cytokine-cytokine receptor interaction	10/295	0.0373637580044488	0.267968169877559	0	0	1.98066595059076	6.51055609736576	CD4;CD40LG;CXCR5;CD27;CXCR4;CCR7;IL16;LTB;IL6ST;IL6R
Non-small cell lung cancer	4/72	0.0384643306044343	0.267968169877559	0	0	3.30001685487949	10.7515339319067	EML4;STAT3;STK4;JAK3
RNA degradation	4/79	0.0511314337518952	0.337146129882434	0	0	2.99094555873925	8.89314541123608	BTG2;BTG1;PABPC4;PABPC1
Leukocyte transendothelial migration	5/114	0.0516204600776933	0.337146129882434	0	0	2.57539808077613	7.63306056437706	ITK;RAP1A;ITGB2;RHOH;CXCR4
Malaria	3/50	0.058167702728595	0.368395450614435	0	0	3.57446808510638	10.1673064337843	CD40LG;KLRB1;ITGB2
Autoimmune thyroid disease	3/53	0.0669370701382547	0.411466107614566	0	0	3.35948571428571	9.08405727506302	CD40LG;CD28;CTLA4
Viral carcinogenesis	7/203	0.0691123784002475	0.412699631018621	0	0	2.00774153592073	5.36472840338871	SNW1;CDKN1B;IRF3;STAT3;TRAF1;IL6ST;JAK3
Proteoglycans in cancer	7/205	0.0719936764780821	0.417963288442199	0	0	1.98725696269049	5.22882479447467	PPP1CC;DDX5;STAT3;RPS6;HIF1A;CD44;EIF4B
Legionellosis	3/57	0.0795022339235495	0.432332980738306	0	0	3.11	7.87442719153348	EEF1A1;EEF1G;ITGB2
Biosynthesis of unsaturated fatty acids	2/27	0.0816693855451407	0.432332980738306	0	0	4.47225071225071	11.203328217147	TECR;ACAA1
Collecting duct acid secretion	2/27	0.0816693855451407	0.432332980738306	0	0	4.47225071225071	11.203328217147	ATP6V0E1;ATP6V0E2
FoxO signaling pathway	5/131	0.0827431542082881	0.432332980738306	0	0	2.22598522167488	5.5471863289678	CDKN1B;STAT3;ATM;STK4;ATG12
Oxidative phosphorylation	5/133	0.086938655247455	0.435236542949392	0	0	2.19097970545977	5.35158300332468	ATP6V0E1;NDUFC2;NDUFV2;ATP6V0E2;COX7C
Pathways in cancer	14/531	0.0893998405996052	0.435236542949392	0	0	1.5281034787719	3.68981425195141	CDKN1B;STAT3;TCF7;LEF1;CXCR4;TRAF1;STK4;HIF1A;EML4;PIM2;IL6ST;JAK3;IL6R;SKP1
Viral myocarditis	3/60	0.0895462743867171	0.435236542949392	0	0	2.94586466165414	7.10837070701908	CD40LG;ITGB2;CD28
