p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	-9.49375895218215	0	0.166	0	KLRC3	c1
0	-8.84159367678181	0.001	0.15	0	KLRC2	c1
0	-8.58783881384657	0.001	0.128	0	KIR2DL4	c1
0	-7.60472893879916	0.004	0.28	0	LINC02446	c1
0	-7.0669928093269	0.002	0.149	0	HLA-DQA1	c1
0	-6.85727732962816	0.002	0.173	0	CRTAM	c1
0	-6.73305644695571	0.003	0.23	0	ENTPD1	c1
0	-6.58718002739962	0.007	0.271	0	HLA-DRA	c1
0	-6.33709215019974	0.005	0.166	0	ZNF683	c1
0	-6.33475056640062	0.004	0.217	0	CD160	c1
0	-6.30877708912154	0.009	0.398	0	KLRD1	c1
0	-6.17557654897296	0.004	0.223	0	PECAM1	c1
0	-6.01711222080526	0.003	0.158	0	TOX2	c1
0	-5.84280853441128	0.003	0.143	0	IKZF2	c1
0	-5.75832836535908	0.006	0.175	0	HLA-DRB5	c1
0	-5.62260239986422	0.003	0.148	0	KLRK1	c1
0	-5.47184644068268	0.003	0.182	0	ZEB2	c1
0	-5.26923028291511	0.018	0.496	0	CD8B	c1
0	-5.20731225064503	0.027	0.328	0	GZMB	c1
0	-5.03987484244423	0.005	0.161	0	JAKMIP1	c1
0	-5.02156466209566	0.042	0.436	0	HLA-DRB1	c1
0	-4.99282860613778	0.008	0.179	0	CCL3	c1
0	-4.9136737277947	0.008	0.182	0	SELL	c1
0	-4.89817499194118	0.005	0.154	0	TNIP3	c1
0	-4.5917538976049	0.087	0.549	0	CD8A	c1
0	-4.32128768498275	0.017	0.223	0	HLA-DQB1	c1
0	-4.31860632337188	0.007	0.135	0	FCRL6	c1
0	-4.30902353233288	0.027	0.248	0	XCL2	c1
0	-4.26862568879182	0.026	0.212	0	GNLY	c1
0	-4.22225423251788	0.044	0.431	0	HLA-DPB1	c1
0	-4.1635333539329	0.029	0.326	0	CD38	c1
0	-4.11736022987345	0.032	0.247	0	GZMH	c1
0	-3.96154081016237	0.015	0.168	0	PLEK	c1
0	-3.95323773238242	0.039	0.383	0	DUSP4	c1
0	-3.94842929668704	0.055	0.471	0	TIGIT	c1
0	-3.92690581566374	0.026	0.284	0	FABP5	c1
0	-3.79573998606046	0.017	0.218	0	CD244	c1
0	-3.65708132403242	0.083	0.488	0	HLA-DPA1	c1
0	3.54689776211906	0.157	0.018	0	ADAM23	c1
0	-3.44536347641739	0.014	0.168	0	GPR34	c1
0	-3.30995254414661	0.024	0.24	0	IL21R	c1
