Diagnosis	Sample	seurat_clusters	.n
Colitis	C1	c1	165
Colitis	C1	c2	74
Colitis	C1	c3	1335
Colitis	C1	c4	201
Colitis	C1	c5	141
Colitis	C1	c6	50
Colitis	C1	c7	220
Colitis	C1	c8	177
Colitis	C1	c9	112
Colitis	C1	c10	325
Colitis	C1	c11	273
Colitis	C1	c12	27
Colitis	C1	c13	33
Colitis	C1	c14	9
Colitis	C1	c15	1
Colitis	C1	c16	5
Colitis	C1	c17	18
Colitis	C2	c1	84
Colitis	C2	c2	71
Colitis	C2	c3	1338
Colitis	C2	c4	76
Colitis	C2	c5	280
Colitis	C2	c6	63
Colitis	C2	c7	99
Colitis	C2	c8	411
Colitis	C2	c9	73
Colitis	C2	c10	627
Colitis	C2	c11	619
Colitis	C2	c12	11
Colitis	C2	c13	61
Colitis	C2	c14	25
Colitis	C2	c15	2
Colitis	C2	c16	5
Colitis	C2	c17	12
Colitis	C2	c18	1
Colitis	C3	c1	255
Colitis	C3	c2	212
Colitis	C3	c3	109
Colitis	C3	c4	343
Colitis	C3	c5	292
Colitis	C3	c6	218
Colitis	C3	c7	418
Colitis	C3	c8	222
Colitis	C3	c9	107
Colitis	C3	c10	505
Colitis	C3	c11	170
Colitis	C3	c12	1073
Colitis	C3	c13	48
Colitis	C3	c14	12
Colitis	C3	c15	2
Colitis	C3	c16	9
Colitis	C3	c17	22
Colitis	C3	c18	4
Colitis	C3	c19	7
Colitis	C4	c1	446
Colitis	C4	c2	126
Colitis	C4	c3	72
Colitis	C4	c4	313
Colitis	C4	c5	303
Colitis	C4	c6	203
Colitis	C4	c7	192
Colitis	C4	c8	368
Colitis	C4	c9	123
Colitis	C4	c10	325
Colitis	C4	c11	508
Colitis	C4	c12	17
Colitis	C4	c13	111
Colitis	C4	c14	10
Colitis	C4	c15	1
Colitis	C4	c16	8
Colitis	C4	c17	7
Colitis	C4	c18	3
Colitis	C4	c19	1
Colitis	C5	c1	180
Colitis	C5	c2	132
Colitis	C5	c3	1849
Colitis	C5	c4	48
Colitis	C5	c5	261
Colitis	C5	c6	73
Colitis	C5	c7	172
Colitis	C5	c8	332
Colitis	C5	c9	98
Colitis	C5	c10	261
Colitis	C5	c11	312
Colitis	C5	c12	27
Colitis	C5	c13	44
Colitis	C5	c14	50
Colitis	C5	c15	10
Colitis	C5	c16	56
Colitis	C5	c17	30
Colitis	C5	c18	1
Colitis	C6	c1	704
Colitis	C6	c2	325
Colitis	C6	c3	35
Colitis	C6	c4	86
Colitis	C6	c5	580
Colitis	C6	c6	164
Colitis	C6	c7	157
Colitis	C6	c8	154
Colitis	C6	c9	145
Colitis	C6	c10	235
Colitis	C6	c11	169
Colitis	C6	c12	5
Colitis	C6	c13	63
Colitis	C6	c14	34
Colitis	C6	c15	25
Colitis	C6	c16	8
Colitis	C6	c17	5
Colitis	C6	c19	4
Control	CT1	c1	480
Control	CT1	c2	403
Control	CT1	c3	7
Control	CT1	c4	835
Control	CT1	c5	194
Control	CT1	c6	379
Control	CT1	c7	281
Control	CT1	c8	250
Control	CT1	c9	526
Control	CT1	c10	30
Control	CT1	c11	22
Control	CT1	c12	1
Control	CT1	c13	25
Control	CT1	c14	52
Control	CT1	c15	9
Control	CT1	c16	10
Control	CT1	c17	12
Control	CT1	c18	8
Control	CT1	c19	4
Control	CT2	c1	660
Control	CT2	c2	300
Control	CT2	c4	220
Control	CT2	c5	106
Control	CT2	c6	214
Control	CT2	c7	381
Control	CT2	c8	253
Control	CT2	c9	223
Control	CT2	c10	40
Control	CT2	c11	3
Control	CT2	c13	10
Control	CT2	c14	66
Control	CT2	c15	36
Control	CT2	c16	17
Control	CT2	c17	8
Control	CT2	c18	4
Control	CT2	c19	3
Control	CT3	c1	1121
Control	CT3	c2	641
Control	CT3	c3	3
Control	CT3	c4	143
Control	CT3	c5	424
Control	CT3	c6	364
Control	CT3	c7	339
Control	CT3	c8	156
Control	CT3	c9	145
Control	CT3	c10	18
Control	CT3	c11	8
Control	CT3	c12	1
Control	CT3	c13	17
Control	CT3	c14	26
Control	CT3	c15	1
Control	CT3	c16	9
Control	CT3	c17	1
Control	CT3	c18	5
Control	CT3	c19	1
Control	CT4	c1	512
Control	CT4	c2	448
Control	CT4	c3	32
Control	CT4	c4	209
Control	CT4	c5	342
Control	CT4	c6	127
Control	CT4	c7	138
Control	CT4	c8	271
Control	CT4	c9	173
Control	CT4	c10	11
Control	CT4	c11	19
Control	CT4	c13	37
Control	CT4	c14	24
Control	CT4	c15	5
Control	CT4	c16	16
Control	CT4	c17	3
Control	CT4	c18	1
Control	CT4	c19	5
Control	CT6	c1	1483
Control	CT6	c2	758
Control	CT6	c4	339
Control	CT6	c5	147
Control	CT6	c6	319
Control	CT6	c7	197
Control	CT6	c8	120
Control	CT6	c9	261
