seurat_clusters	Sample	.n	.frac
c1	C1	173	0.0546430827542641
c1	C2	88	0.0228097459823743
c1	C3	287	0.0712512413108242
c1	C4	469	0.14950589735416
c1	C5	186	0.0472560975609756
c1	C6	706	0.243616287094548
c1	CT1	499	0.141439909297052
c1	CT2	671	0.26375786163522
c1	CT3	1138	0.332456909144026
c1	CT4	537	0.22629582806574
c1	CT6	1510	0.407008086253369
c1	NC1	799	0.287824207492795
c1	NC2	869	0.267879161528977
c1	NC3	749	0.313389121338912
c1	NC4	1300	0.398040416411513
c1	NC6	939	0.250133191262653
c2	C1	74	0.0233733417561592
c2	C2	70	0.0181441161223432
c2	C3	212	0.0526315789473684
c2	C4	125	0.0398469875677399
c2	C5	133	0.0337906504065041
c2	C6	327	0.112836438923395
c2	CT1	401	0.113662131519274
c2	CT2	301	0.118317610062893
c2	CT3	642	0.187554776511832
c2	CT4	443	0.186683522966709
c2	CT6	755	0.203504043126685
c2	NC1	158	0.0569164265129683
c2	NC2	390	0.120221948212084
c2	NC3	320	0.133891213389121
c2	NC4	907	0.277709736680955
c2	NC6	723	0.192594565796484
c3	C1	1334	0.421351863550221
c3	C2	1343	0.348107827890098
c3	C3	109	0.0270605759682224
c3	C4	71	0.0226330889384763
c3	C5	1853	0.470782520325203
c3	C6	35	0.0120772946859903
c3	CT1	7	0.00198412698412698
c3	CT2	2	0.000786163522012579
c3	CT3	3	0.000876424189307625
c3	CT4	38	0.0160134850400337
c3	NC1	5	0.00180115273775216
c3	NC2	4	0.00123304562268804
c3	NC4	5	0.00153092467850582
c3	NC6	27	0.00719232818327118
c4	C1	200	0.0631711939355654
c4	C2	76	0.0196993260756869
c4	C3	344	0.0854021847070506
c4	C4	312	0.0994580809690787
c4	C5	47	0.0119410569105691
c4	C6	86	0.0296756383712905
c4	CT1	835	0.236678004535147
c4	CT2	216	0.0849056603773585
c4	CT3	142	0.0414840782938942
c4	CT4	203	0.0855457227138643
c4	CT6	338	0.0911051212938005
c4	NC1	178	0.0641210374639769
c4	NC2	377	0.116214549938348
c4	NC3	356	0.148953974895397
c4	NC4	196	0.060012247397428
c4	NC6	721	0.192061800745871
c5	C1	143	0.0451674036639292
c5	C2	282	0.073094867807154
c5	C3	293	0.0727408142999007
c5	C4	304	0.0969078737647434
c5	C5	268	0.0680894308943089
c5	C6	580	0.200138026224983
c5	CT1	195	0.0552721088435374
c5	CT2	109	0.0428459119496855
c5	CT3	429	0.12532865907099
c5	CT4	347	0.146228402865571
c5	CT6	150	0.0404312668463612
c5	NC1	110	0.0396253602305476
c5	NC2	419	0.129161528976572
c5	NC3	118	0.0493723849372385
c5	NC4	289	0.0884874464176363
c5	NC6	208	0.0554075652637187
c6	C1	43	0.0135818066961466
c6	C2	58	0.0150336962156558
c6	C3	197	0.0489076464746773
c6	C4	184	0.0586547656997131
c6	C5	63	0.0160060975609756
c6	C6	159	0.0548654244306418
c6	CT1	361	0.102324263038549
c6	CT2	203	0.0797955974842767
c6	CT3	350	0.102249488752556
c6	CT4	109	0.0459334176148335
c6	CT6	296	0.0797843665768194
c6	NC1	255	0.0918587896253602
c6	NC2	531	0.163686806411837
c6	NC3	254	0.106276150627615
c6	NC4	181	0.0554194733619106
c6	NC6	363	0.0966968566862014
c7	C1	174	0.0549589387239419
c7	C2	413	0.107050285121825
c7	C3	225	0.0558589870903674
c7	C4	365	0.1163532036978
c7	C5	330	0.0838414634146342
c7	C6	155	0.0534851621808144
c7	CT1	257	0.0728458049886621
c7	CT2	250	0.0982704402515723
c7	CT3	159	0.0464504820333041
c7	CT4	268	0.112937210282343
c7	CT6	120	0.032345013477089
c7	NC1	258	0.0929394812680115
c7	NC2	140	0.0431565967940814
c7	NC3	167	0.0698744769874477
c7	NC4	98	0.030006123698714
c7	NC6	151	0.0402237613212573
c8	C1	110	0.034744156664561
c8	C2	73	0.018921721099015
c8	C3	108	0.0268123138033764
c8	C4	119	0.0379343321644884
c8	C5	94	0.0238821138211382
c8	C6	144	0.0496894409937888
c8	CT1	524	0.148526077097506
c8	CT2	226	0.0888364779874214
c8	CT3	144	0.042068361086766
c8	CT4	169	0.0712178676780447
c8	CT6	261	0.0703504043126685
c8	NC1	335	0.120677233429395
c8	NC2	196	0.0604192355117139
c8	NC3	163	0.0682008368200837
c8	NC4	80	0.0244947948560931
c8	NC6	163	0.0434203516249334
c9	C1	324	0.102337334175616
c9	C2	626	0.162260238465526
c9	C3	489	0.121400198609732
c9	C4	323	0.10296461587504
c9	C5	261	0.0663109756097561
c9	C6	235	0.0810904071773637
c9	CT1	30	0.00850340136054422
c9	CT2	40	0.0157232704402516
c9	CT3	18	0.00525854513584575
c9	CT4	12	0.00505689001264223
c9	CT6	6	0.00161725067385445
c9	NC1	46	0.0165706051873199
c9	NC2	44	0.0135635018495684
c9	NC3	69	0.0288702928870293
c9	NC4	15	0.00459277403551745
c9	NC6	68	0.0181140117208311
c10	C1	272	0.0859128237523689
c10	C2	612	0.158631415241058
c10	C3	157	0.0389771598808342
c10	C4	504	0.160663053873127
c10	C5	294	0.0746951219512195
c10	C6	159	0.0548654244306418
c10	CT1	15	0.00425170068027211
c10	CT2	3	0.00117924528301887
c10	CT3	8	0.002337131171487
c10	CT4	17	0.00716392751790982
c10	CT6	1	0.000269541778975741
c10	NC1	18	0.00648414985590778
c10	NC2	27	0.00832305795314427
c10	NC3	21	0.00878661087866109
c10	NC4	17	0.00520514390691978
c10	NC6	36	0.00958977091102824
c11	C1	99	0.0312697409981049
c11	C2	56	0.0145152928978745
c11	C3	290	0.0719960278053625
c11	C4	179	0.0570608861970035
c11	C5	165	0.0419207317073171
c11	C6	117	0.0403726708074534
c11	CT1	114	0.032312925170068
c11	CT2	151	0.0593553459119497
c11	CT3	191	0.0557990067192521
c11	CT4	127	0.0535187526337969
c11	CT6	141	0.0380053908355795
c11	NC1	69	0.0248559077809798
c11	NC2	110	0.0339087546239211
c11	NC3	55	0.0230125523012552
c11	NC4	46	0.0140845070422535
c11	NC6	93	0.0247735748534896
c12	C1	125	0.0394819962097284
c12	C2	46	0.0119232763089684
c12	C3	129	0.032025819265144
c12	C4	22	0.00701306981192222
c12	C5	28	0.00711382113821138
c12	C6	54	0.0186335403726708
c12	CT1	170	0.0481859410430839
c12	CT2	228	0.089622641509434
c12	CT3	138	0.0403155127081507
c12	CT4	13	0.00547829751369574
c12	CT6	54	0.01455525606469
c12	NC1	466	0.167867435158501
c12	NC2	31	0.00955610357583231
c12	NC3	9	0.00376569037656904
c12	NC4	6	0.00183710961420698
c12	NC6	67	0.0178476291955248
c13	C1	29	0.00915982312065698
c13	C2	11	0.00285121824779679
c13	C3	1095	0.271847070506455
c13	C4	19	0.00605674211029646
c13	C5	28	0.00711382113821138
c13	C6	5	0.00172532781228433
c13	CT1	1	0.000283446712018141
c13	CT3	1	0.000292141396435875
c13	NC6	2	0.00053276505061268
c14	C1	33	0.0104232469993683
c14	C2	60	0.015552099533437
c14	C3	44	0.0109235352532274
c14	C4	111	0.035384124960153
c14	C5	40	0.0101626016260163
c14	C6	62	0.0213940648723257
c14	CT1	24	0.00680272108843537
c14	CT2	10	0.00393081761006289
c14	CT3	16	0.004674262342974
c14	CT4	37	0.0155920775389802
c14	CT6	16	0.00431266846361186
c14	NC1	56	0.0201729106628242
c14	NC2	49	0.0151048088779285
c14	NC3	10	0.00418410041841004
c14	NC4	40	0.0122473974280465
c14	NC6	43	0.0114544485881726
c15	C1	9	0.00284270372710044
c15	C2	24	0.00622083981337481
c15	C3	5	0.00124131082423039
c15	C4	9	0.00286898310487727
c15	C5	49	0.0124491869918699
c15	C6	32	0.0110420979986197
c15	CT1	52	0.0147392290249433
c15	CT2	66	0.0259433962264151
c15	CT3	27	0.00788781770376862
c15	CT4	23	0.00969237252423093
c15	CT6	30	0.00808625336927224
c15	NC1	4	0.00144092219020173
c15	NC2	16	0.00493218249075216
c15	NC3	33	0.0138075313807531
c15	NC4	17	0.00520514390691978
c15	NC6	84	0.0223761321257326
c16	C1	1	0.000315855969677827
c16	C2	2	0.000518403317781234
c16	C3	2	0.000496524329692155
c16	C4	1	0.000318775900541919
c16	C5	10	0.00254065040650406
c16	C6	25	0.00862663906142167
c16	CT1	9	0.00255102040816327
c16	CT2	36	0.0141509433962264
c16	CT3	1	0.000292141396435875
c16	CT4	5	0.00210703750526759
c16	CT6	7	0.00188679245283019
c16	NC2	13	0.00400739827373613
c16	NC3	38	0.0158995815899582
c16	NC4	35	0.0107164727495407
c16	NC6	47	0.012519978689398
c17	C1	5	0.00157927984838913
c17	C2	5	0.00129600829445308
c17	C3	8	0.00198609731876862
c17	C4	8	0.00255020720433535
c17	C5	56	0.0142276422764228
c17	C6	8	0.00276052449965493
c17	CT1	10	0.00283446712018141
c17	CT2	17	0.00668238993710692
c17	CT3	9	0.00262927256792287
c17	CT4	16	0.0067425200168563
c17	CT6	15	0.00404312668463612
c17	NC1	4	0.00144092219020173
c17	NC2	19	0.00585696670776819
c17	NC3	16	0.00669456066945607
c17	NC4	22	0.0067360685854256
c17	NC6	11	0.00293020777836974
c18	C1	18	0.00568540745420088
c18	C2	12	0.0031104199066874
c18	C3	23	0.00571002979145978
c18	C4	8	0.00255020720433535
